statid;timeobs (UTC);cloud cover (%);label
619300;2009010100;80;1100
619300;2009010101;90;1100
619300;2009010102;90;1100
619300;2009010103;90;1100
619300;2009010104;90;1100
619300;2009010105;90;1100
619300;2009010106;90;1100
619300;2009010107;90;1100
619300;2009010108;92;1100
619300;2009010109;90;1100
619300;2009010110;92;1100
619300;2009010111;95;1100
619300;2009010112;95;1100
619300;2009010113;92;1100
619300;2009010114;93;1100
619300;2009010115;93;1100
619300;2009010116;90;1100
619300;2009010117;92;1100
619300;2009010118;90;1100
619300;2009010119;90;1100
619300;2009010120;90;1100
619300;2009010121;92;1100
619300;2009010122;92;1100
619300;2009010123;92;1100
619300;2009010200;90;1100
619300;2009010201;90;1100
619300;2009010202;90;1100
619300;2009010203;90;1100
619300;2009010204;98;1100
619300;2009010205;90;1100
619300;2009010206;92;1100
619300;2009010207;80;1100
619300;2009010208;75;1100
619300;2009010209;90;1100
619300;2009010210;90;1100
619300;2009010211;90;1100
619300;2009010212;85;1100
619300;2009010213;90;1100
619300;2009010214;95;1100
619300;2009010215;75;1100
619300;2009010216;67;1100
619300;2009010217;62;1100
619300;2009010218;90;1100
619300;2009010219;58;1100
619300;2009010220;35;1100
619300;2009010221;25;1100
619300;2009010222;63;1100
619300;2009010223;75;1100
619300;2009010300;85;1100
619300;2009010301;63;1100
619300;2009010302;23;1100
619300;2009010303;53;1100
619300;2009010304;70;1100
619300;2009010305;53;1100
619300;2009010306;67;1100
619300;2009010307;85;1100
619300;2009010308;95;1100
619300;2009010309;93;1100
619300;2009010310;93;1100
619300;2009010311;93;1100
619300;2009010312;97;1100
619300;2009010313;75;1100
619300;2009010314;32;1100
619300;2009010315;98;1100
619300;2009010316;64;1100
619300;2009010317;28;1100
619300;2009010318;80;1100
619300;2009010319;25;1100
619300;2009010320;72;1100
619300;2009010321;80;1100
619300;2009010322;53;1100
619300;2009010323;47;1100
619300;2009010400;65;1100
619300;2009010401;82;1100
619300;2009010402;93;1100
619300;2009010403;95;1100
619300;2009010404;92;1100
619300;2009010405;92;1100
619300;2009010406;92;1100
619300;2009010407;92;1100
619300;2009010408;90;1100
619300;2009010409;90;1100
619300;2009010410;90;1100
619300;2009010411;90;1100
619300;2009010412;93;1100
619300;2009010413;98;1100
619300;2009010414;98;1100
619300;2009010415;98;1100
619300;2009010416;95;1100
619300;2009010417;92;1100
619300;2009010418;90;1100
619300;2009010419;90;1100
619300;2009010420;92;1100
619300;2009010421;88;1100
619300;2009010422;47;1100
619300;2009010423;45;1100
619300;2009010500;42;1100
619300;2009010501;46;1100
619300;2009010502;90;1100
619300;2009010503;90;1100
619300;2009010504;90;1100
619300;2009010505;90;1100
619300;2009010506;97;1100
619300;2009010507;95;1100
619300;2009010508;98;1100
619300;2009010509;95;1100
619300;2009010510;92;1100
619300;2009010511;98;1100
619300;2009010512;95;1100
619300;2009010513;95;1100
619300;2009010514;97;1100
619300;2009010515;97;1100
619300;2009010516;93;1100
619300;2009010517;97;1100
619300;2009010518;95;1100
619300;2009010519;97;1100
619300;2009010520;93;1100
619300;2009010521;97;1100
619300;2009010522;98;1100
619300;2009010523;98;1100
619300;2009010600;98;1100
619300;2009010601;98;1100
619300;2009010602;98;1100
619300;2009010603;97;1100
619300;2009010604;90;1100
619300;2009010605;72;1100
619300;2009010606;57;1100
619300;2009010607;62;1100
619300;2009010608;85;1100
619300;2009010609;75;1100
619300;2009010610;27;1100
619300;2009010611;25;1100
619300;2009010612;15;1100
619300;2009010613;45;1100
619300;2009010614;62;1100
619300;2009010615;60;1100
619300;2009010616;75;1100
619300;2009010617;90;1100
619300;2009010618;90;1100
619300;2009010619;90;1100
619300;2009010620;90;1100
619300;2009010621;92;1100
619300;2009010622;90;1100
619300;2009010623;90;1100
619300;2009010700;92;1100
619300;2009010701;90;1100
619300;2009010702;92;1100
619300;2009010703;90;1100
619300;2009010704;90;1100
619300;2009010705;90;1100
619300;2009010706;92;1100
619300;2009010707;94;1100
619300;2009010708;90;1100
619300;2009010709;90;1100
619300;2009010710;90;1100
619300;2009010711;90;1100
619300;2009010712;90;1100
619300;2009010713;90;1100
619300;2009010714;90;1100
619300;2009010715;92;1100
619300;2009010716;90;1100
619300;2009010717;90;1100
619300;2009010718;97;1100
619300;2009010719;90;1100
619300;2009010720;98;1100
619300;2009010721;95;1100
619300;2009010722;93;1100
619300;2009010723;92;1100
619300;2009010800;95;1100
619300;2009010801;93;1100
619300;2009010802;93;1100
619300;2009010803;97;1100
619300;2009010804;97;1100
619300;2009010805;95;1100
619300;2009010806;93;1100
619300;2009010807;95;1100
619300;2009010808;90;1100
619300;2009010809;90;1100
619300;2009010810;85;1100
619300;2009010811;65;1100
619300;2009010812;47;1100
619300;2009010813;85;1100
619300;2009010814;75;1100
619300;2009010815;80;1100
619300;2009010816;90;1100
619300;2009010817;88;1100
619300;2009010818;97;1100
619300;2009010819;93;1100
619300;2009010820;92;1100
619300;2009010821;98;1100
619300;2009010822;90;1100
619300;2009010823;92;1100
619300;2009010900;90;1100
619300;2009010901;90;1100
619300;2009010902;90;1100
619300;2009010903;90;1100
619300;2009010904;97;1100
619300;2009010905;97;1100
619300;2009010906;97;1100
619300;2009010907;98;1100
619300;2009010908;93;1100
619300;2009010909;92;1100
619300;2009010910;90;1100
619300;2009010911;90;1100
619300;2009010912;80;1100
619300;2009010913;90;1100
619300;2009010914;58;1100
619300;2009010915;77;1100
619300;2009010916;90;1100
619300;2009010917;90;1100
619300;2009010918;90;1100
619300;2009010919;90;1100
619300;2009010920;90;1100
619300;2009010921;92;1100
619300;2009010922;92;1100
619300;2009010923;95;1100
619300;2009011000;93;1100
619300;2009011001;97;1100
619300;2009011002;97;1100
619300;2009011003;93;1100
619300;2009011004;93;1100
619300;2009011005;98;1100
619300;2009011006;95;1100
619300;2009011007;93;1100
619300;2009011008;82;1100
