 statid;timeobs;Diffuse_illuminance_mean_[lx];Quality_label
610900;2009010100;     0;1000
610900;2009010101;     0;1000
610900;2009010102;     0;1000
610900;2009010103;     0;1000
610900;2009010104;     0;1000
610900;2009010105;     0;1000
610900;2009010106;     0;1000
610900;2009010107;     0;1000
610900;2009010108;    79;1000
610900;2009010109;  2294;1000
610900;2009010110;  6990;1000
610900;2009010111;  6593;1000
610900;2009010112;  7158;1000
610900;2009010113;  4972;1000
610900;2009010114;  4326;1000
610900;2009010115;  1483;1000
610900;2009010116;     0;1000
610900;2009010117;     0;1000
610900;2009010118;     0;1000
610900;2009010119;     0;1000
610900;2009010120;     0;1000
610900;2009010121;     0;1000
610900;2009010122;     0;1000
610900;2009010123;     0;1000
610900;2009010200;     0;1000
610900;2009010201;     0;1000
610900;2009010202;     0;1000
610900;2009010203;     0;1000
610900;2009010204;     0;1000
610900;2009010205;     0;1000
610900;2009010206;     0;1000
610900;2009010207;     0;1000
610900;2009010208;    72;1000
610900;2009010209;  1584;1000
610900;2009010210;  4576;1000
610900;2009010211;  8801;1000
610900;2009010212;  9867;1000
610900;2009010213;  8938;1000
610900;2009010214;  6720;1000
610900;2009010215;  1310;1000
610900;2009010216;    74;1000
610900;2009010217;     0;1000
610900;2009010218;     0;1000
610900;2009010219;     0;1000
610900;2009010220;     0;1000
610900;2009010221;     0;1000
610900;2009010222;     0;1000
610900;2009010223;     0;1000
610900;2009010300;     0;1000
610900;2009010301;     0;1000
610900;2009010302;     0;1000
610900;2009010303;     0;1000
610900;2009010304;     0;1000
610900;2009010305;     0;1000
610900;2009010306;     0;1000
610900;2009010307;     0;1000
610900;2009010308;   104;1000
610900;2009010309;  2046;1000
610900;2009010310;  3718;1000
610900;2009010311;  5508;1000
610900;2009010312;  3915;1000
610900;2009010313;  3103;1000
610900;2009010314;   977;1000
610900;2009010315;   316;1000
610900;2009010316;     0;1000
610900;2009010317;     0;1000
610900;2009010318;     0;1000
610900;2009010319;     0;1000
610900;2009010320;     0;1000
610900;2009010321;     0;1000
610900;2009010322;     0;1000
610900;2009010323;     0;1000
610900;2009010400;     0;1000
610900;2009010401;     0;1000
610900;2009010402;     0;1000
610900;2009010403;     0;1000
610900;2009010404;     0;1000
610900;2009010405;     0;1000
610900;2009010406;     0;1000
610900;2009010407;     0;1000
610900;2009010408;     0;1000
610900;2009010409;  1207;1000
610900;2009010410;  3624;1000
610900;2009010411;  3493;1000
610900;2009010412;  5394;1000
610900;2009010413;  3583;1000
610900;2009010414;  1846;1000
610900;2009010415;   506;1000
610900;2009010416;     0;1000
610900;2009010417;     0;1000
610900;2009010418;     0;1000
610900;2009010419;     0;1000
610900;2009010420;     0;1000
610900;2009010421;     0;1000
610900;2009010422;     0;1000
610900;2009010423;     0;1000
610900;2009010500;     0;1000
610900;2009010501;     0;1000
610900;2009010502;     0;1000
610900;2009010503;     0;1000
610900;2009010504;     0;1000
610900;2009010505;     0;1000
610900;2009010506;     0;1000
610900;2009010507;     0;1000
610900;2009010508;   104;1000
610900;2009010509;  2856;1000
610900;2009010510;  7361;1000
610900;2009010511;  7074;1000
610900;2009010512;  7511;1000
610900;2009010513;  6969;1000
610900;2009010514;  7008;1000
610900;2009010515;  3187;1000
610900;2009010516;   103;1000
610900;2009010517;     0;1000
610900;2009010518;     0;1000
610900;2009010519;     0;1000
610900;2009010520;     0;1000
610900;2009010521;     0;1000
610900;2009010522;     0;1000
610900;2009010523;     0;1000
610900;2009010600;     0;1000
610900;2009010601;     0;1000
610900;2009010602;     0;1000
610900;2009010603;     0;1000
610900;2009010604;     0;1000
610900;2009010605;     0;1000
610900;2009010606;     0;1000
610900;2009010607;     0;1000
610900;2009010608;     0;1000
610900;2009010609;   869;1000
610900;2009010610;  4635;1000
610900;2009010611; 11102;1000
610900;2009010612;  7387;1000
610900;2009010613;  8111;1000
610900;2009010614;  3368;1000
610900;2009010615;  1211;1000
610900;2009010616;    82;1000
610900;2009010617;     0;1000
610900;2009010618;     0;1000
610900;2009010619;     0;1000
610900;2009010620;     0;1000
610900;2009010621;     0;1000
610900;2009010622;     0;1000
610900;2009010623;     0;1000
610900;2009010700;     0;1000
610900;2009010701;     0;1000
610900;2009010702;     0;1000
610900;2009010703;     0;1000
610900;2009010704;     0;1000
610900;2009010705;     0;1000
610900;2009010706;     0;1000
610900;2009010707;     0;1000
610900;2009010708;    83;1000
610900;2009010709;  2584;1000
610900;2009010710;  7401;1000
610900;2009010711;  6784;1000
610900;2009010712;  7325;1000
610900;2009010713;  7093;1000
610900;2009010714;  7112;1000
610900;2009010715;  3146;1000
610900;2009010716;    84;1000
610900;2009010717;     0;1000
610900;2009010718;     0;1000
610900;2009010719;     0;1000
610900;2009010720;     0;1000
610900;2009010721;     0;1000
610900;2009010722;     0;1000
610900;2009010723;     0;1000
610900;2009010800;     0;1000
610900;2009010801;     0;1000
610900;2009010802;     0;1000
610900;2009010803;     0;1000
610900;2009010804;     0;1000
610900;2009010805;     0;1000
610900;2009010806;     0;1000
610900;2009010807;     0;1000
610900;2009010808;    83;1000
610900;2009010809;  1701;1000
610900;2009010810;  5016;1000
610900;2009010811;  6106;1000
610900;2009010812;  3373;1000
610900;2009010813;  3884;1000
610900;2009010814;  1286;1000
610900;2009010815;   698;1000
610900;2009010816;     0;1000
610900;2009010817;     0;1000
610900;2009010818;     0;1000
610900;2009010819;     0;1000
610900;2009010820;     0;1000
610900;2009010821;     0;1000
610900;2009010822;     0;1000
610900;2009010823;     0;1000
610900;2009010900;     0;1000
610900;2009010901;     0;1000
610900;2009010902;     0;1000
610900;2009010903;     0;1000
610900;2009010904;     0;1000
610900;2009010905;     0;1000
610900;2009010906;     0;1000
610900;2009010907;     0;1000
610900;2009010908;    84;1000
610900;2009010909;  2266;1000
610900;2009010910;  7658;1000
610900;2009010911;  9213;1000
610900;2009010912; 10831;1000
610900;2009010913;  7483;1000
610900;2009010914;  4619;1000
610900;2009010915;  1799;1000
610900;2009010916;    86;1000
610900;2009010917;     0;1000
610900;2009010918;     0;1000
610900;2009010919;     0;1000
610900;2009010920;     0;1000
610900;2009010921;     0;1000
610900;2009010922;     0;1000
610900;2009010923;     0;1000
610900;2009011000;     0;1000
610900;2009011001;     0;1000
