statid;timeobs;Diffuse_irradiance_mean_[W/m^2];Quality_label
619700;2009010100;0;1000
619700;2009010101;0;1000
619700;2009010102;0;1000
619700;2009010103;0;1000
619700;2009010104;0;1000
619700;2009010105;0;1000
619700;2009010106;0;1000
619700;2009010107;0;1000
619700;2009010108;2;1000
619700;2009010109;31.7;1000
619700;2009010110;67.3;1000
619700;2009010111;69;1000
619700;2009010112;89.4;1000
619700;2009010113;51.5;1000
619700;2009010114;41.2;1000
619700;2009010115;12.8;1000
619700;2009010116;0;1000
619700;2009010117;0;1000
619700;2009010118;0;1000
619700;2009010119;0;1000
619700;2009010120;0;1000
619700;2009010121;0;1000
619700;2009010122;0;1000
619700;2009010123;0;1000
619700;2009010200;0;1000
619700;2009010201;0;1000
619700;2009010202;0;1000
619700;2009010203;0;1000
619700;2009010204;0;1000
619700;2009010205;0;1000
619700;2009010206;0;1000
619700;2009010207;0;1000
619700;2009010208;11;1000
619700;2009010209;39.5;1000
619700;2009010210;46.8;1000
619700;2009010211;49;1000
619700;2009010212;45.1;1000
619700;2009010213;43.8;1000
619700;2009010214;40.3;1000
619700;2009010215;15;1000
619700;2009010216;0;1000
619700;2009010217;0;1000
619700;2009010218;0;1000
619700;2009010219;0;1000
619700;2009010220;0;1000
619700;2009010221;0;1000
619700;2009010222;0;1000
619700;2009010223;0;1000
619700;2009010300;0;1000
619700;2009010301;0;1000
619700;2009010302;0;1000
619700;2009010303;0;1000
619700;2009010304;0;1000
619700;2009010305;0;1000
619700;2009010306;0;1000
619700;2009010307;0;1000
619700;2009010308;11;1000
619700;2009010309;36.6;1000
619700;2009010310;53.6;1000
619700;2009010311;60.5;1000
619700;2009010312;76.3;1000
619700;2009010313;23;1000
619700;2009010314;10;1000
619700;2009010315;2;1000
619700;2009010316;0;1000
619700;2009010317;0;1000
619700;2009010318;0;1000
619700;2009010319;0;1000
619700;2009010320;0;1000
619700;2009010321;0;1000
619700;2009010322;0;1000
619700;2009010323;0;1000
619700;2009010400;0;1000
619700;2009010401;0;1000
619700;2009010402;0;1000
619700;2009010403;0;1000
619700;2009010404;0;1000
619700;2009010405;0;1000
619700;2009010406;0;1000
619700;2009010407;0;1000
619700;2009010408;2;1000
619700;2009010409;31.4;1000
619700;2009010410;55.8;1000
619700;2009010411;100.3;1000
619700;2009010412;66.2;1000
619700;2009010413;58.6;1000
619700;2009010414;21;1000
619700;2009010415;7;1000
619700;2009010416;0;1000
619700;2009010417;0;1000
619700;2009010418;0;1000
619700;2009010419;0;1000
619700;2009010420;0;1000
619700;2009010421;0;1000
619700;2009010422;0;1000
619700;2009010423;0;1000
619700;2009010500;0;1000
619700;2009010501;0;1000
619700;2009010502;0;1000
619700;2009010503;0;1000
619700;2009010504;0;1000
619700;2009010505;0;1000
619700;2009010506;0;1000
619700;2009010507;0;1000
619700;2009010508;5.2;1000
619700;2009010509;32.8;1000
619700;2009010510;56.9;1000
619700;2009010511;82;1000
619700;2009010512;68.6;1000
619700;2009010513;42.2;1000
619700;2009010514;42.8;1000
619700;2009010515;18;1000
619700;2009010516;0;1000
619700;2009010517;0;1000
619700;2009010518;0;1000
619700;2009010519;0;1000
619700;2009010520;0;1000
619700;2009010521;0;1000
619700;2009010522;0;1000
619700;2009010523;0;1000
619700;2009010600;0;1000
619700;2009010601;0;1000
619700;2009010602;0;1000
619700;2009010603;0;1000
619700;2009010604;0;1000
619700;2009010605;0;1000
619700;2009010606;0;1000
619700;2009010607;0;1000
619700;2009010608;4.7;1000
619700;2009010609;22;1000
619700;2009010610;32;1000
619700;2009010611;70.7;1000
619700;2009010612;60.8;1000
619700;2009010613;44;1000
619700;2009010614;29;1000
619700;2009010615;8;1000
619700;2009010616;0;1000
619700;2009010617;0;1000
619700;2009010618;0;1000
619700;2009010619;0;1000
619700;2009010620;0;1000
619700;2009010621;0;1000
619700;2009010622;0;1000
619700;2009010623;0;1000
619700;2009010700;0;1000
619700;2009010701;0;1000
619700;2009010702;0;1000
619700;2009010703;0;1000
619700;2009010704;0;1000
619700;2009010705;0;1000
619700;2009010706;0;1000
619700;2009010707;0;1000
619700;2009010708;5.1;1000
619700;2009010709;44.2;1000
619700;2009010710;63.9;1000
619700;2009010711;82.1;1000
619700;2009010712;88;1000
619700;2009010713;69.2;1000
619700;2009010714;44.6;1000
619700;2009010715;21;1000
619700;2009010716;0;1000
619700;2009010717;0;1000
619700;2009010718;0;1000
619700;2009010719;0;1000
619700;2009010720;0;1000
619700;2009010721;0;1000
619700;2009010722;0;1000
619700;2009010723;0;1000
619700;2009010800;0;1000
619700;2009010801;0;1000
619700;2009010802;0;1000
619700;2009010803;0;1000
619700;2009010804;0;1000
619700;2009010805;0;1000
619700;2009010806;0;1000
619700;2009010807;0;1000
619700;2009010808;22;1000
619700;2009010809;47.5;1000
619700;2009010810;70.7;1000
619700;2009010811;91.6;1000
619700;2009010812;94.5;1000
619700;2009010813;76.6;1000
619700;2009010814;35.5;1000
619700;2009010815;7;1000
619700;2009010816;0;1000
619700;2009010817;0;1000
619700;2009010818;0;1000
619700;2009010819;0;1000
619700;2009010820;0;1000
619700;2009010821;0;1000
619700;2009010822;0;1000
619700;2009010823;0;1000
619700;2009010900;0;1000
619700;2009010901;0;1000
619700;2009010902;0;1000
619700;2009010903;0;1000
619700;2009010904;0;1000
619700;2009010905;0;1000
619700;2009010906;0;1000
619700;2009010907;0;1000
619700;2009010908;1;1000
619700;2009010909;16;1000
619700;2009010910;47.8;1000
619700;2009010911;51;1000
619700;2009010912;45;1000
619700;2009010913;35;1000
619700;2009010914;20;1000
619700;2009010915;5;1000
619700;2009010916;0;1000
619700;2009010917;0;1000
619700;2009010918;0;1000
619700;2009010919;0;1000
619700;2009010920;0;1000
619700;2009010921;0;1000
619700;2009010922;0;1000
619700;2009010923;0;1000
619700;2009011000;0;1000
619700;2009011001;0;1000
619700;2009011002;0;1000
619700;2009011003;0;1000
619700;2009011004;0;1000
619700;2009011005;0;1000
619700;2009011006;0;1000
619700;2009011007;0;1000
619700;2009011008;1;1000
619700;2009011009;7;1000
619700;2009011010;14;1000
619700;2009011011;22;1000
619700;2009011012;23;1000
619700;2009011013;38;1000
619700;2009011014;22;1000
619700;2009011015;4;1000
619700;2009011016;0;1000
619700;2009011017;0;1000
619700;2009011018;0;1000
619700;2009011019;0;1000
619700;2009011020;0;1000
619700;2009011021;0;1000
619700;2009011022;0;1000
619700;2009011023;0;1000
619700;2009011100;0;1000
619700;2009011101;0;1000
619700;2009011102;0;1000
619700;2009011103;0;1000
619700;2009011104;0;1000
619700;2009011105;0;1000
619700;2009011106;0;1000
619700;2009011107;0;1000
619700;2009011108;18.3;1000
619700;2009011109;41;1000
619700;2009011110;68;1000
619700;2009011111;93.8;1000
619700;2009011112;86.5;1000
619700;2009011113;76.2;1000
619700;2009011114;52.9;1000
619700;2009011115;15.1;1000
619700;2009011116;0;1000
619700;2009011117;0;1000
619700;2009011118;0;1000
619700;2009011119;0;1000
619700;2009011120;0;1000
619700;2009011121;0;1000
619700;2009011122;0;1000
619700;2009011123;0;1000
619700;2009011200;0;1000
619700;2009011201;0;1000
619700;2009011202;0;1000
619700;2009011203;0;1000
619700;2009011204;0;1000
619700;2009011205;0;1000
619700;2009011206;0;1000
619700;2009011207;0;1000
619700;2009011208;17.9;1000
619700;2009011209;39.1;1000
619700;2009011210;57.2;1000
619700;2009011211;57.6;1000
619700;2009011212;56;1000
619700;2009011213;48;1000
619700;2009011214;45.6;1000
619700;2009011215;27.9;1000
619700;2009011216;1;1000
619700;2009011217;0;1000
619700;2009011218;0;1000
619700;2009011219;0;1000
619700;2009011220;0;1000
619700;2009011221;0;1000
619700;2009011222;0;1000
619700;2009011223;0;1000
619700;2009011300;0;1000
619700;2009011301;0;1000
619700;2009011302;0;1000
619700;2009011303;0;1000
619700;2009011304;0;1000
619700;2009011305;0;1000
619700;2009011306;0;1000
619700;2009011307;0;1000
619700;2009011308;2;1000
619700;2009011309;10;1000
619700;2009011310;18;1000
619700;2009011311;19;1000
619700;2009011312;30;1000
619700;2009011313;22;1000
619700;2009011314;21;1000
619700;2009011315;5;1000
619700;2009011316;0;1000
619700;2009011317;0;1000
619700;2009011318;0;1000
619700;2009011319;0;1000
619700;2009011320;0;1000
619700;2009011321;0;1000
619700;2009011322;0;1000
619700;2009011323;0;1000
619700;2009011400;0;1000
619700;2009011401;0;1000
619700;2009011402;0;1000
619700;2009011403;0;1000
619700;2009011404;0;1000
619700;2009011405;0;1000
619700;2009011406;0;1000
619700;2009011407;0;1000
619700;2009011408;4;1000
619700;2009011409;25;1000
619700;2009011410;53.4;1000
619700;2009011411;31;1000
619700;2009011412;59.8;1000
619700;2009011413;30;1000
619700;2009011414;16;1000
619700;2009011415;7;1000
619700;2009011416;0;1000
619700;2009011417;0;1000
619700;2009011418;0;1000
619700;2009011419;0;1000
619700;2009011420;0;1000
619700;2009011421;0;1000
619700;2009011422;0;1000
619700;2009011423;0;1000
619700;2009011500;0;1000
619700;2009011501;0;1000
619700;2009011502;0;1000
619700;2009011503;0;1000
619700;2009011504;0;1000
619700;2009011505;0;1000
619700;2009011506;0;1000
619700;2009011507;0;1000
619700;2009011508;5;1000
619700;2009011509;28;1000
619700;2009011510;60.7;1000
619700;2009011511;81;1000
619700;2009011512;61.7;1000
619700;2009011513;77.6;1000
619700;2009011514;57.9;1000
619700;2009011515;18;1000
619700;2009011516;0;1000
619700;2009011517;0;1000
619700;2009011518;0;1000
619700;2009011519;0;1000
619700;2009011520;0;1000
619700;2009011521;0;1000
619700;2009011522;0;1000
619700;2009011523;0;1000
619700;2009011600;0;1000
619700;2009011601;0;1000
619700;2009011602;0;1000
619700;2009011603;0;1000
619700;2009011604;0;1000
619700;2009011605;0;1000
619700;2009011606;0;1000
619700;2009011607;0;1000
619700;2009011608;7;1000
619700;2009011609;39.5;1000
619700;2009011610;81.9;1000
619700;2009011611;57.4;1000
619700;2009011612;62.1;1000
619700;2009011613;70.9;1000
619700;2009011614;55.3;1000
619700;2009011615;20.9;1000
619700;2009011616;0;1000
619700;2009011617;0;1000
619700;2009011618;0;1000
619700;2009011619;0;1000
619700;2009011620;0;1000
619700;2009011621;0;1000
619700;2009011622;0;1000
619700;2009011623;0;1000
619700;2009011700;0;1000
619700;2009011701;0;1000
619700;2009011702;0;1000
619700;2009011703;0;1000
619700;2009011704;0;1000
619700;2009011705;0;1000
619700;2009011706;0;1000
619700;2009011707;0;1000
619700;2009011708;3;1000
619700;2009011709;31.6;1000
619700;2009011710;80.9;1000
619700;2009011711;101.9;1000
619700;2009011712;83.9;1000
619700;2009011713;54.5;1000
619700;2009011714;69.6;1000
619700;2009011715;27.9;1000
619700;2009011716;0.6;1000
619700;2009011717;0;1000
619700;2009011718;0;1000
619700;2009011719;0;1000
619700;2009011720;0;1000
619700;2009011721;0;1000
619700;2009011722;0;1000
619700;2009011723;0;1000
619700;2009011800;0;1000
619700;2009011801;0;1000
619700;2009011802;0;1000
619700;2009011803;0;1000
