statid;timeobs;Direct_normal_irradiance_mean_[W/m^2];Quality_label
619700;2009010100;   0.0;1000
619700;2009010101;   0.0;1000
619700;2009010102;   0.0;1000
619700;2009010103;   0.0;1000
619700;2009010104;   0.0;1000
619700;2009010105;   0.0;1000
619700;2009010106;   0.0;1000
619700;2009010107;   0.0;1000
619700;2009010108;   0.0;1000
619700;2009010109;  22.1;1000
619700;2009010110;  33.5;1000
619700;2009010111;  72.2;1000
619700;2009010112; 442.6;1000
619700;2009010113; 472.7;1000
619700;2009010114; 306.0;1000
619700;2009010115;   6.4;1000
619700;2009010116;   0.0;1000
619700;2009010117;   0.0;1000
619700;2009010118;   0.0;1000
619700;2009010119;   0.0;1000
619700;2009010120;   0.0;1000
619700;2009010121;   0.0;1000
619700;2009010122;   0.0;1000
619700;2009010123;   0.0;1000
619700;2009010200;   0.0;1000
619700;2009010201;   0.0;1000
619700;2009010202;   0.0;1000
619700;2009010203;   0.0;1000
619700;2009010204;   0.0;1000
619700;2009010205;   0.0;1000
619700;2009010206;   0.0;1000
619700;2009010207;   0.0;1000
619700;2009010208;   0.0;1000
619700;2009010209; 382.4;1000
619700;2009010210; 581.8;1000
619700;2009010211; 656.8;1000
619700;2009010212; 673.3;1000
619700;2009010213; 589.3;1000
619700;2009010214; 343.6;1000
619700;2009010215;   0.0;1000
619700;2009010216;   0.0;1000
619700;2009010217;   0.0;1000
619700;2009010218;   0.0;1000
619700;2009010219;   0.0;1000
619700;2009010220;   0.0;1000
619700;2009010221;   0.0;1000
619700;2009010222;   0.0;1000
619700;2009010223;   0.0;1000
619700;2009010300;   0.0;1000
619700;2009010301;   0.0;1000
619700;2009010302;   0.0;1000
619700;2009010303;   0.0;1000
619700;2009010304;   0.0;1000
619700;2009010305;   0.0;1000
619700;2009010306;   0.0;1000
619700;2009010307;   0.0;1000
619700;2009010308;   0.0;1000
619700;2009010309;  50.5;1000
619700;2009010310;   8.3;1000
619700;2009010311;   2.5;1000
619700;2009010312;  45.6;1000
619700;2009010313;   0.0;1000
619700;2009010314;   0.0;1000
619700;2009010315;   0.0;1000
619700;2009010316;   0.0;1000
619700;2009010317;   0.0;1000
619700;2009010318;   0.0;1000
619700;2009010319;   0.0;1000
619700;2009010320;   0.0;1000
619700;2009010321;   0.0;1000
619700;2009010322;   0.0;1000
619700;2009010323;   0.0;1000
619700;2009010400;   0.0;1000
619700;2009010401;   0.0;1000
619700;2009010402;   0.0;1000
619700;2009010403;   0.0;1000
619700;2009010404;   0.0;1000
619700;2009010405;   0.0;1000
619700;2009010406;   0.0;1000
619700;2009010407;   0.0;1000
619700;2009010408;   0.0;1000
619700;2009010409;  14.6;1000
619700;2009010410;  52.9;1000
619700;2009010411; 362.6;1000
619700;2009010412;  41.1;1000
619700;2009010413;   7.4;1000
619700;2009010414;   0.0;1000
619700;2009010415;   0.0;1000
619700;2009010416;   0.0;1000
619700;2009010417;   0.0;1000
619700;2009010418;   0.0;1000
619700;2009010419;   0.0;1000
619700;2009010420;   0.0;1000
619700;2009010421;   0.0;1000
619700;2009010422;   0.0;1000
619700;2009010423;   0.0;1000
619700;2009010500;   0.0;1000
619700;2009010501;   0.0;1000
619700;2009010502;   0.0;1000
619700;2009010503;   0.0;1000
619700;2009010504;   0.0;1000
619700;2009010505;   0.0;1000
619700;2009010506;   0.0;1000
619700;2009010507;   0.0;1000
619700;2009010508;  58.9;1000
619700;2009010509;   2.1;1000
619700;2009010510;  34.8;1000
619700;2009010511; 346.9;1000
619700;2009010512; 603.0;1000
619700;2009010513; 648.8;1000
619700;2009010514; 387.2;1000
619700;2009010515;   0.0;1000
619700;2009010516;   0.0;1000
619700;2009010517;   0.0;1000
619700;2009010518;   0.0;1000
619700;2009010519;   0.0;1000
619700;2009010520;   0.0;1000
619700;2009010521;   0.0;1000
619700;2009010522;   0.0;1000
619700;2009010523;   0.0;1000
619700;2009010600;   0.0;1000
619700;2009010601;   0.0;1000
619700;2009010602;   0.0;1000
619700;2009010603;   0.0;1000
619700;2009010604;   0.0;1000
619700;2009010605;   0.0;1000
619700;2009010606;   0.0;1000
619700;2009010607;   0.0;1000
619700;2009010608; 105.9;1000
619700;2009010609;   0.0;1000
619700;2009010610;   0.0;1000
619700;2009010611;  10.5;1000
619700;2009010612;   0.9;1000
619700;2009010613;   0.0;1000
619700;2009010614;   0.0;1000
619700;2009010615;   0.0;1000
619700;2009010616;   0.0;1000
619700;2009010617;   0.0;1000
619700;2009010618;   0.0;1000
619700;2009010619;   0.0;1000
619700;2009010620;   0.0;1000
619700;2009010621;   0.0;1000
619700;2009010622;   0.0;1000
619700;2009010623;   0.0;1000
619700;2009010700;   0.0;1000
619700;2009010701;   0.0;1000
619700;2009010702;   0.0;1000
619700;2009010703;   0.0;1000
619700;2009010704;   0.0;1000
619700;2009010705;   0.0;1000
619700;2009010706;   0.0;1000
619700;2009010707;   0.0;1000
619700;2009010708;  94.0;1000
619700;2009010709; 249.9;1000
619700;2009010710; 492.0;1000
619700;2009010711; 294.5;1000
619700;2009010712; 117.8;1000
619700;2009010713; 363.4;1000
619700;2009010714; 381.9;1000
619700;2009010715;   0.0;1000
619700;2009010716;   0.0;1000
619700;2009010717;   0.0;1000
619700;2009010718;   0.0;1000
619700;2009010719;   0.0;1000
619700;2009010720;   0.0;1000
619700;2009010721;   0.0;1000
619700;2009010722;   0.0;1000
619700;2009010723;   0.0;1000
619700;2009010800;   0.0;1000
619700;2009010801;   0.0;1000
619700;2009010802;   0.0;1000
619700;2009010803;   0.0;1000
619700;2009010804;   0.0;1000
619700;2009010805;   0.0;1000
619700;2009010806;   0.0;1000
619700;2009010807;   0.0;1000
619700;2009010808;   0.0;1000
619700;2009010809; 191.6;1000
619700;2009010810; 173.1;1000
619700;2009010811; 120.6;1000
619700;2009010812;  60.7;1000
619700;2009010813;  49.2;1000
619700;2009010814;   3.8;1000
619700;2009010815;   0.0;1000
619700;2009010816;   0.0;1000
619700;2009010817;   0.0;1000
619700;2009010818;   0.0;1000
619700;2009010819;   0.0;1000
619700;2009010820;   0.0;1000
619700;2009010821;   0.0;1000
619700;2009010822;   0.0;1000
619700;2009010823;   0.0;1000
619700;2009010900;   0.0;1000
619700;2009010901;   0.0;1000
619700;2009010902;   0.0;1000
619700;2009010903;   0.0;1000
619700;2009010904;   0.0;1000
619700;2009010905;   0.0;1000
619700;2009010906;   0.0;1000
619700;2009010907;   0.0;1000
619700;2009010908;   0.0;1000
619700;2009010909;   0.0;1000
619700;2009010910;   1.3;1000
619700;2009010911;   0.0;1000
619700;2009010912;   0.0;1000
619700;2009010913;   0.0;1000
619700;2009010914;   0.0;1000
619700;2009010915;   0.0;1000
619700;2009010916;   0.0;1000
619700;2009010917;   0.0;1000
619700;2009010918;   0.0;1000
619700;2009010919;   0.0;1000
619700;2009010920;   0.0;1000
619700;2009010921;   0.0;1000
619700;2009010922;   0.0;1000
619700;2009010923;   0.0;1000
619700;2009011000;   0.0;1000
619700;2009011001;   0.0;1000
619700;2009011002;   0.0;1000
619700;2009011003;   0.0;1000
619700;2009011004;   0.0;1000
619700;2009011005;   0.0;1000
619700;2009011006;   0.0;1000
619700;2009011007;   0.0;1000
619700;2009011008;   0.0;1000
619700;2009011009;   0.0;1000
619700;2009011010;   0.0;1000
619700;2009011011;   0.0;1000
619700;2009011012;   0.0;1000
619700;2009011013;   0.0;1000
619700;2009011014;   0.0;1000
619700;2009011015;   0.0;1000
619700;2009011016;   0.0;1000
619700;2009011017;   0.0;1000
619700;2009011018;   0.0;1000
619700;2009011019;   0.0;1000
619700;2009011020;   0.0;1000
619700;2009011021;   0.0;1000
619700;2009011022;   0.0;1000
619700;2009011023;   0.0;1000
619700;2009011100;   0.0;1000
619700;2009011101;   0.0;1000
619700;2009011102;   0.0;1000
619700;2009011103;   0.0;1000
619700;2009011104;   0.0;1000
619700;2009011105;   0.0;1000
619700;2009011106;   0.0;1000
619700;2009011107;   0.0;1000
619700;2009011108;  19.5;1000
619700;2009011109;  93.4;1000
619700;2009011110; 257.2;1000
619700;2009011111; 116.2;1000
619700;2009011112; 271.2;1000
619700;2009011113; 224.4;1000
619700;2009011114;  51.5;1000
619700;2009011115; 108.5;1000
619700;2009011116;   0.0;1000
619700;2009011117;   0.0;1000
619700;2009011118;   0.0;1000
619700;2009011119;   0.0;1000
619700;2009011120;   0.0;1000
619700;2009011121;   0.0;1000
619700;2009011122;   0.0;1000
619700;2009011123;   0.0;1000
619700;2009011200;   0.0;1000
619700;2009011201;   0.0;1000
619700;2009011202;   0.0;1000
619700;2009011203;   0.0;1000
619700;2009011204;   0.0;1000
619700;2009011205;   0.0;1000
619700;2009011206;   0.0;1000
619700;2009011207;   0.0;1000
619700;2009011208;   1.8;1000
619700;2009011209; 486.5;1000
619700;2009011210; 554.9;1000
619700;2009011211; 632.5;1000
619700;2009011212; 686.6;1000
619700;2009011213; 681.0;1000
619700;2009011214; 458.7;1000
619700;2009011215;  18.8;1000
619700;2009011216;   0.0;1000
619700;2009011217;   0.0;1000
619700;2009011218;   0.0;1000
619700;2009011219;   0.0;1000
619700;2009011220;   0.0;1000
619700;2009011221;   0.0;1000
619700;2009011222;   0.0;1000
619700;2009011223;   0.0;1000
619700;2009011300;   0.0;1000
619700;2009011301;   0.0;1000
619700;2009011302;   0.0;1000
619700;2009011303;   0.0;1000
619700;2009011304;   0.0;1000
619700;2009011305;   0.0;1000
619700;2009011306;   0.0;1000
619700;2009011307;   0.0;1000
619700;2009011308;   0.0;1000
619700;2009011309;   0.0;1000
619700;2009011310;   0.0;1000
619700;2009011311;   0.0;1000
619700;2009011312;   0.0;1000
619700;2009011313;   0.0;1000
619700;2009011314;   0.0;1000
619700;2009011315;   0.0;1000
619700;2009011316;   0.0;1000
619700;2009011317;   0.0;1000
619700;2009011318;   0.0;1000
619700;2009011319;   0.0;1000
619700;2009011320;   0.0;1000
619700;2009011321;   0.0;1000
619700;2009011322;   0.0;1000
619700;2009011323;   0.0;1000
619700;2009011400;   0.0;1000
619700;2009011401;   0.0;1000
619700;2009011402;   0.0;1000
619700;2009011403;   0.0;1000
619700;2009011404;   0.0;1000
619700;2009011405;   0.0;1000
619700;2009011406;   0.0;1000
619700;2009011407;   0.0;1000
619700;2009011408;   0.0;1000
619700;2009011409;   0.0;1000
619700;2009011410;   3.0;1000
619700;2009011411;   0.0;1000
619700;2009011412;   0.9;1000
619700;2009011413;   0.0;1000
619700;2009011414;   0.0;1000
619700;2009011415;   0.0;1000
619700;2009011416;   0.0;1000
619700;2009011417;   0.0;1000
619700;2009011418;   0.0;1000
619700;2009011419;   0.0;1000
619700;2009011420;   0.0;1000
619700;2009011421;   0.0;1000
619700;2009011422;   0.0;1000
619700;2009011423;   0.0;1000
619700;2009011500;   0.0;1000
619700;2009011501;   0.0;1000
619700;2009011502;   0.0;1000
619700;2009011503;   0.0;1000
619700;2009011504;   0.0;1000
619700;2009011505;   0.0;1000
619700;2009011506;   0.0;1000
619700;2009011507;   0.0;1000
619700;2009011508;   0.0;1000
619700;2009011509;   0.0;1000
619700;2009011510;   1.5;1000
619700;2009011511;   8.6;1000
619700;2009011512;   1.4;1000
619700;2009011513;  25.7;1000
619700;2009011514;  33.8;1000
619700;2009011515;  45.6;1000
619700;2009011516;   0.0;1000
619700;2009011517;   0.0;1000
619700;2009011518;   0.0;1000
619700;2009011519;   0.0;1000
619700;2009011520;   0.0;1000
619700;2009011521;   0.0;1000
619700;2009011522;   0.0;1000
619700;2009011523;   0.0;1000
619700;2009011600;   0.0;1000
619700;2009011601;   0.0;1000
619700;2009011602;   0.0;1000
619700;2009011603;   0.0;1000
619700;2009011604;   0.0;1000
619700;2009011605;   0.0;1000
619700;2009011606;   0.0;1000
619700;2009011607;   0.0;1000
619700;2009011608;   0.0;1000
619700;2009011609;  58.7;1000
619700;2009011610; 432.8;1000
619700;2009011611; 695.8;1000
619700;2009011612; 644.3;1000
619700;2009011613; 557.7;1000
619700;2009011614; 252.4;1000
619700;2009011615;  74.9;1000
619700;2009011616;   0.0;1000
619700;2009011617;   0.0;1000
619700;2009011618;   0.0;1000
619700;2009011619;   0.0;1000
619700;2009011620;   0.0;1000
619700;2009011621;   0.0;1000
619700;2009011622;   0.0;1000
619700;2009011623;   0.0;1000
619700;2009011700;   0.0;1000
619700;2009011701;   0.0;1000
619700;2009011702;   0.0;1000
