statid;timeobs;Direct_normal_top_of_atmosphere_radiation_mean_[W/m^2];Quality_label
619700;2009010100;1412.1;1000
619700;2009010101;1412.1;1000
619700;2009010102;1412.1;1000
619700;2009010103;1412.1;1000
619700;2009010104;1412.1;1000
619700;2009010105;1412.1;1000
619700;2009010106;1412.1;1000
619700;2009010107;1412.1;1000
619700;2009010108;1412.1;1000
619700;2009010109;1412.1;1000
619700;2009010110;1412.1;1000
619700;2009010111;1412.1;1000
619700;2009010112;1412.1;1000
619700;2009010113;1412.1;1000
619700;2009010114;1412.1;1000
619700;2009010115;1412.1;1000
619700;2009010116;1412.1;1000
619700;2009010117;1412.1;1000
619700;2009010118;1412.1;1000
619700;2009010119;1412.1;1000
619700;2009010120;1412.1;1000
619700;2009010121;1412.1;1000
619700;2009010122;1412.1;1000
619700;2009010123;1412.1;1000
619700;2009010200;1412.1;1000
619700;2009010201;1412.1;1000
619700;2009010202;1412.1;1000
619700;2009010203;1412.1;1000
619700;2009010204;1412.1;1000
619700;2009010205;1412.1;1000
619700;2009010206;1412.1;1000
619700;2009010207;1412.1;1000
619700;2009010208;1412.1;1000
619700;2009010209;1412.1;1000
619700;2009010210;1412.1;1000
619700;2009010211;1412.1;1000
619700;2009010212;1412.1;1000
619700;2009010213;1412.1;1000
619700;2009010214;1412.1;1000
619700;2009010215;1412.1;1000
619700;2009010216;1412.1;1000
619700;2009010217;1412.1;1000
619700;2009010218;1412.1;1000
619700;2009010219;1412.1;1000
619700;2009010220;1412.1;1000
619700;2009010221;1412.1;1000
619700;2009010222;1412.1;1000
619700;2009010223;1412.1;1000
619700;2009010300;1412.1;1000
619700;2009010301;1412.1;1000
619700;2009010302;1412.1;1000
619700;2009010303;1412.1;1000
619700;2009010304;1412.1;1000
619700;2009010305;1412.1;1000
619700;2009010306;1412.1;1000
619700;2009010307;1412.1;1000
619700;2009010308;1412.1;1000
619700;2009010309;1412.1;1000
619700;2009010310;1412.1;1000
619700;2009010311;1412.1;1000
619700;2009010312;1412.1;1000
619700;2009010313;1412.1;1000
619700;2009010314;1412.1;1000
619700;2009010315;1412.1;1000
619700;2009010316;1412.1;1000
619700;2009010317;1412.1;1000
619700;2009010318;1412.1;1000
619700;2009010319;1412.1;1000
619700;2009010320;1412.1;1000
619700;2009010321;1412.1;1000
619700;2009010322;1412.1;1000
619700;2009010323;1412.1;1000
619700;2009010400;1412.0;1000
619700;2009010401;1412.0;1000
619700;2009010402;1412.0;1000
619700;2009010403;1412.0;1000
619700;2009010404;1412.0;1000
619700;2009010405;1412.0;1000
619700;2009010406;1412.0;1000
619700;2009010407;1412.0;1000
619700;2009010408;1412.0;1000
619700;2009010409;1412.0;1000
619700;2009010410;1412.0;1000
619700;2009010411;1412.0;1000
619700;2009010412;1412.0;1000
619700;2009010413;1412.0;1000
619700;2009010414;1412.0;1000
619700;2009010415;1412.0;1000
619700;2009010416;1412.0;1000
619700;2009010417;1412.0;1000
619700;2009010418;1412.0;1000
619700;2009010419;1412.0;1000
619700;2009010420;1412.0;1000
619700;2009010421;1412.0;1000
619700;2009010422;1412.0;1000
619700;2009010423;1412.0;1000
619700;2009010500;1411.9;1000
