statid;timeobs;Integrated_water_vapour_mean_[kg/m^2];Quality_label
610900;2009010100; 6.1329;1000
610900;2009010101; 6.9311;1000
610900;2009010102; 7.7957;1000
610900;2009010103; 8.3644;1000
610900;2009010104; 8.7016;1000
610900;2009010105; 8.7575;1000
610900;2009010106; 8.4192;1000
610900;2009010107; 7.8485;1000
610900;2009010108; 7.2384;1000
610900;2009010109; 6.7217;1000
610900;2009010110; 6.6593;1000
610900;2009010111; 6.2529;1000
610900;2009010112; 5.8951;1000
610900;2009010113; 5.5696;1000
610900;2009010114; 5.3590;1000
610900;2009010115; 5.2656;1000
610900;2009010116; 5.2610;1000
610900;2009010117; 5.2441;1000
610900;2009010118; 5.1351;1000
610900;2009010119; 5.0271;1000
610900;2009010120; 4.9787;1000
610900;2009010121; 4.9757;1000
610900;2009010122; 5.1818;1000
610900;2009010123; 5.0418;1000
610900;2009010200; 4.8354;1000
610900;2009010201; 4.7072;1000
610900;2009010202; 4.9259;1000
610900;2009010203; 5.3705;1000
610900;2009010204; 5.7095;1000
610900;2009010205; 5.8453;1000
610900;2009010206; 5.7300;1000
610900;2009010207; 5.4370;1000
610900;2009010208; 4.9792;1000
610900;2009010209; 4.5729;1000
610900;2009010210; 4.4521;1000
610900;2009010211; 4.2889;1000
610900;2009010212; 4.2805;1000
610900;2009010213; 4.3731;1000
610900;2009010214; 4.5013;1000
610900;2009010215; 4.6777;1000
610900;2009010216; 4.7560;1000
610900;2009010217; 4.7473;1000
610900;2009010218; 4.6919;1000
610900;2009010219; 4.7560;1000
610900;2009010220; 5.3761;1000
610900;2009010221; 6.3667;1000
610900;2009010222; 7.2471;1000
610900;2009010223; 7.1938;1000
610900;2009010300; 6.9964;1000
610900;2009010301; 6.7274;1000
610900;2009010302; 6.7948;1000
610900;2009010303; 7.3666;1000
610900;2009010304; 8.1766;1000
610900;2009010305; 8.9441;1000
610900;2009010306; 9.5743;1000
610900;2009010307;10.0941;1000
610900;2009010308;10.7410;1000
610900;2009010309;11.3953;1000
610900;2009010310;11.9179;1000
610900;2009010311;11.1880;1000
610900;2009010312;10.3089;1000
610900;2009010313; 8.6999;1000
610900;2009010314; 7.4825;1000
610900;2009010315; 7.0633;1000
610900;2009010316; 6.8997;1000
610900;2009010317; 6.8401;1000
610900;2009010318; 6.9065;1000
610900;2009010319; 7.0461;1000
610900;2009010320; 7.1363;1000
610900;2009010321; 7.0903;1000
610900;2009010322; 7.0337;1000
610900;2009010323; 7.0827;1000
610900;2009010400; 7.2141;1000
610900;2009010401; 7.3824;1000
610900;2009010402; 7.2626;1000
610900;2009010403; 6.9844;1000
610900;2009010404; 6.6681;1000
610900;2009010405; 6.4249;1000
610900;2009010406; 6.2529;1000
610900;2009010407; 6.1438;1000
610900;2009010408; 5.9516;1000
610900;2009010409; 5.7225;1000
610900;2009010410; 5.7417;1000
610900;2009010411; 5.7138;1000
610900;2009010412; 5.7445;1000
610900;2009010413; 5.6553;1000
610900;2009010414; 5.3495;1000
610900;2009010415; 4.8294;1000
610900;2009010416; 4.2654;1000
610900;2009010417; 3.8300;1000
610900;2009010418; 3.5596;1000
610900;2009010419; 3.3943;1000
610900;2009010420; 3.2994;1000
610900;2009010421; 3.1744;1000
610900;2009010422; 3.0618;1000
610900;2009010423; 2.8904;1000
610900;2009010500; 2.7968;1000
610900;2009010501; 2.7372;1000
610900;2009010502; 2.6562;1000
610900;2009010503; 2.6054;1000
610900;2009010504; 2.6513;1000
610900;2009010505; 2.7780;1000
610900;2009010506; 2.9499;1000
610900;2009010507; 3.1803;1000
610900;2009010508; 3.4079;1000
610900;2009010509; 3.5995;1000
610900;2009010510; 4.0553;1000
610900;2009010511; 4.2512;1000
610900;2009010512; 4.3909;1000
610900;2009010513; 4.4720;1000
610900;2009010514; 4.4520;1000
610900;2009010515; 4.4057;1000
610900;2009010516; 4.3083;1000
610900;2009010517; 4.1911;1000
610900;2009010518; 4.1086;1000
610900;2009010519; 4.1119;1000
610900;2009010520; 4.2918;1000
610900;2009010521; 4.6584;1000
610900;2009010522; 5.2974;1000
610900;2009010523; 5.5624;1000
610900;2009010600; 5.7784;1000
610900;2009010601; 5.9242;1000
610900;2009010602; 6.0263;1000
610900;2009010603; 6.0687;1000
610900;2009010604; 6.0645;1000
610900;2009010605; 6.0963;1000
610900;2009010606; 6.1928;1000
610900;2009010607; 6.4297;1000
610900;2009010608; 6.5905;1000
610900;2009010609; 6.7922;1000
610900;2009010610; 7.2856;1000
610900;2009010611; 7.5136;1000
610900;2009010612; 7.8747;1000
610900;2009010613; 8.2729;1000
610900;2009010614; 8.6419;1000
610900;2009010615; 9.2530;1000
610900;2009010616;10.4288;1000
610900;2009010617;11.7130;1000
610900;2009010618;11.8599;1000
610900;2009010619;11.1211;1000
610900;2009010620;10.3836;1000
610900;2009010621; 7.8171;1000
610900;2009010622; 6.1506;1000
610900;2009010623; 5.3226;1000
610900;2009010700; 4.9112;1000
610900;2009010701; 4.6984;1000
610900;2009010702; 4.3414;1000
610900;2009010703; 4.1004;1000
610900;2009010704; 3.9253;1000
610900;2009010705; 3.8368;1000
610900;2009010706; 3.7700;1000
610900;2009010707; 3.7282;1000
610900;2009010708; 3.6980;1000
610900;2009010709; 3.6940;1000
610900;2009010710; 3.8220;1000
610900;2009010711; 3.6789;1000
610900;2009010712; 3.7374;1000
610900;2009010713; 3.8273;1000
