statid;timeobs (UTC);atmosfæretryk ved havniveau (hPa);label
611000;2009010100;1024.6;1100
611000;2009010101;1024.1;1100
611000;2009010102;1024.1;1100
611000;2009010103;1024.1;1100
611000;2009010104;1024.3;1100
611000;2009010105;1024.4;1100
611000;2009010106;1024.8;1100
611000;2009010107;1025.2;1100
611000;2009010108;1025.6;1100
611000;2009010109;1026.1;1100
611000;2009010110;1026.4;1100
611000;2009010111;1026.8;1100
611000;2009010112;1027.1;1100
611000;2009010113;1027.5;1100
611000;2009010114;1027.5;1100
611000;2009010115;1027.5;1100
611000;2009010116;1027.8;1100
611000;2009010117;1027.9;1100
611000;2009010118;1027.9;1100
611000;2009010119;1028.2;1100
611000;2009010120;1028.6;1100
611000;2009010121;1028.5;1100
611000;2009010122;1028.2;1100
611000;2009010123;1028.2;1100
611000;2009010200;1028.4;1100
611000;2009010201;1028.2;1100
611000;2009010202;1028.3;1100
611000;2009010203;1028.5;1100
611000;2009010204;1028.7;1100
611000;2009010205;1028.6;1100
611000;2009010206;1028.8;1100
611000;2009010207;1029.3;1100
611000;2009010208;1029.5;1100
611000;2009010209;1030;1100
611000;2009010210;1030.5;1100
611000;2009010211;1030.7;1100
611000;2009010212;1030.8;1100
611000;2009010213;1030.8;1100
611000;2009010214;1030.8;1100
611000;2009010215;1030.9;1100
611000;2009010216;1031.1;1100
611000;2009010217;1031.1;1100
611000;2009010218;1031;1100
611000;2009010219;1030.9;1100
611000;2009010220;1030.7;1100
611000;2009010221;1030.4;1100
611000;2009010222;1030;1100
611000;2009010223;1029.4;1100
611000;2009010300;1028.5;1100
611000;2009010301;1027.3;1100
611000;2009010302;1026.1;1100
611000;2009010303;1025.2;1100
611000;2009010304;1024.3;1100
611000;2009010305;1023.4;1100
611000;2009010306;1022.8;1100
611000;2009010307;1022.1;1100
611000;2009010308;1021.4;1100
611000;2009010309;1020.7;1100
611000;2009010310;1019.9;1100
611000;2009010311;1018.8;1100
611000;2009010312;1017.8;1100
611000;2009010313;1016.7;1100
611000;2009010314;1015.5;1100
611000;2009010315;1014.7;1100
611000;2009010316;1014.1;1100
611000;2009010317;1013.9;1100
611000;2009010318;1014;1100
611000;2009010319;1013.9;1100
611000;2009010320;1014.2;1100
611000;2009010321;1014.3;1100
611000;2009010322;1014.4;1100
611000;2009010323;1014.2;1100
611000;2009010400;1014.1;1100
611000;2009010401;1013.7;1100
611000;2009010402;1013.6;1100
611000;2009010403;1013.4;1100
611000;2009010404;1013.2;1100
611000;2009010405;1013;1100
611000;2009010406;1012.6;1100
611000;2009010407;1012.6;1100
611000;2009010408;1012.7;1100
611000;2009010409;1012.9;1100
611000;2009010410;1012.9;1100
611000;2009010411;1012.5;1100
611000;2009010412;1012.2;1100
611000;2009010413;1012.2;1100
611000;2009010414;1012.4;1100
611000;2009010415;1013;1100
611000;2009010416;1013.6;1100
611000;2009010417;1014.2;1100
611000;2009010418;1014.8;1100
611000;2009010419;1015.5;1100
611000;2009010420;1016.5;1100
611000;2009010421;1017.3;1100
611000;2009010422;1018;1100
611000;2009010423;1018.8;1100
611000;2009010500;1019.3;1100
611000;2009010501;1019.8;1100
611000;2009010502;1020.5;1100
611000;2009010503;1021.3;1100
611000;2009010504;1021.8;1100
611000;2009010505;1022.5;1100
611000;2009010506;1023.1;1100
611000;2009010507;1023.8;1100
611000;2009010508;1024.9;1100
611000;2009010509;1025.8;1100
611000;2009010510;1026.6;1100
611000;2009010511;1026.9;1100
611000;2009010512;1027.2;1100
611000;2009010513;1027.5;1100
611000;2009010514;1027.9;1100
611000;2009010515;1028.3;1100
611000;2009010516;1028.7;1100
611000;2009010517;1029;1100
611000;2009010518;1029.3;1100
611000;2009010519;1029.4;1100
611000;2009010520;1029.8;1100
611000;2009010521;1029.9;1100
611000;2009010522;1030;1100
611000;2009010523;1029.8;1100
611000;2009010600;1029.3;1100
611000;2009010601;1028.9;1100
611000;2009010602;1028.5;1100
611000;2009010603;1028.1;1100
611000;2009010604;1027.3;1100
611000;2009010605;1026.6;1100
611000;2009010606;1026;1100
611000;2009010607;1025.5;1100
611000;2009010608;1025.1;1100
611000;2009010609;1024.7;1100
611000;2009010610;1024.2;1100
611000;2009010611;1023.6;1100
611000;2009010612;1022.6;1100
611000;2009010613;1021.7;1100
611000;2009010614;1021.1;1100
611000;2009010615;1020.3;1100
611000;2009010616;1019.5;1100
611000;2009010617;1018.8;1100
611000;2009010618;1017.7;1100
611000;2009010619;1016.7;1100
611000;2009010620;1015.7;1100
611000;2009010621;1014.7;1100
611000;2009010622;1013.9;1100
611000;2009010623;1012.8;1100
611000;2009010700;1012.1;1100
611000;2009010701;1011.6;1100
611000;2009010702;1011.8;1100
611000;2009010703;1011.9;1100
611000;2009010704;1011.9;1100
611000;2009010705;1012.1;1100
611000;2009010706;1012.5;1100
611000;2009010707;1013.1;1100
611000;2009010708;1013.9;1100
611000;2009010709;1014.7;1100
611000;2009010710;1015.4;1100
611000;2009010711;1016;1100
611000;2009010712;1016.6;1100
611000;2009010713;1017.2;1100
611000;2009010714;1018;1100
611000;2009010715;1019.1;1100
611000;2009010716;1020.2;1100
611000;2009010717;1021.4;1100
611000;2009010718;1022.4;1100
611000;2009010719;1023.3;1100
611000;2009010720;1024.2;1100
611000;2009010721;1024.9;1100
611000;2009010722;1025.5;1100
611000;2009010723;1026;1100
611000;2009010800;1026.2;1100
611000;2009010801;1026.7;1100
611000;2009010802;1027;1100
611000;2009010803;1027.3;1100
611000;2009010804;1027.1;1100
611000;2009010805;1026.8;1100
