statid;timeobs;radiation_mean(W/m^2);label
618800;2009010100;0;1100
618800;2009010101;0;1100
618800;2009010102;0;1100
618800;2009010103;0;1100
618800;2009010104;0;1100
618800;2009010105;0;1100
618800;2009010106;0;1100
618800;2009010107;0;1100
618800;2009010108;4;1100
618800;2009010109;51;1100
618800;2009010110;57;1100
618800;2009010111;175;1100
618800;2009010112;137;1100
618800;2009010113;71;1100
618800;2009010114;53;1100
618800;2009010115;15;1100
618800;2009010116;1;1100
618800;2009010117;0;1100
618800;2009010118;0;1100
618800;2009010119;0;1100
618800;2009010120;0;1100
618800;2009010121;0;1100
618800;2009010122;0;1100
618800;2009010123;0;1100
618800;2009010200;0;1100
618800;2009010201;0;1100
618800;2009010202;0;1100
618800;2009010203;0;1100
618800;2009010204;0;1100
618800;2009010205;0;1100
618800;2009010206;0;1100
618800;2009010207;0;1100
618800;2009010208;5;1100
618800;2009010209;54;1100
618800;2009010210;123;1100
618800;2009010211;163;1100
618800;2009010212;194;1100
618800;2009010213;79;1100
618800;2009010214;64;1100
618800;2009010215;14;1100
618800;2009010216;1;1100
618800;2009010217;0;1100
618800;2009010218;0;1100
618800;2009010219;0;1100
618800;2009010220;0;1100
618800;2009010221;0;1100
618800;2009010222;0;1100
618800;2009010223;0;1100
618800;2009010300;0;1100
618800;2009010301;0;1100
618800;2009010302;0;1100
618800;2009010303;0;1100
618800;2009010304;0;1100
618800;2009010305;0;1100
618800;2009010306;0;1100
618800;2009010307;0;1100
618800;2009010308;3;1100
618800;2009010309;11;1100
618800;2009010310;34;1100
618800;2009010311;34;1100
618800;2009010312;19;1100
618800;2009010313;12;1100
618800;2009010314;9;1100
618800;2009010315;3;1100
618800;2009010316;0;1100
618800;2009010317;0;1100
618800;2009010318;0;1100
618800;2009010319;0;1100
618800;2009010320;0;1100
618800;2009010321;0;1100
618800;2009010322;0;1100
618800;2009010323;0;1100
618800;2009010400;0;1100
618800;2009010401;0;1100
618800;2009010402;0;1100
618800;2009010403;0;1100
618800;2009010404;0;1100
618800;2009010405;0;1100
618800;2009010406;0;1100
618800;2009010407;0;1100
618800;2009010408;1;1100
618800;2009010409;16;1100
618800;2009010410;48;1100
618800;2009010411;72;1100
618800;2009010412;68;1100
618800;2009010413;59;1100
618800;2009010414;37;1100
618800;2009010415;13;1100
618800;2009010416;0;1100
618800;2009010417;0;1100
618800;2009010418;0;1100
618800;2009010419;0;1100
618800;2009010420;0;1100
618800;2009010421;0;1100
618800;2009010422;0;1100
618800;2009010423;0;1100
618800;2009010500;0;1100
618800;2009010501;0;1100
618800;2009010502;0;1100
618800;2009010503;0;1100
618800;2009010504;0;1100
618800;2009010505;0;1100
618800;2009010506;0;1100
618800;2009010507;0;1100
618800;2009010508;5;1100
618800;2009010509;59;1100
618800;2009010510;129;1100
618800;2009010511;176;1100
618800;2009010512;187;1100
618800;2009010513;159;1100
618800;2009010514;98;1100
618800;2009010515;20;1100
618800;2009010516;2;1100
618800;2009010517;0;1100
618800;2009010518;0;1100
618800;2009010519;0;1100
618800;2009010520;0;1100
618800;2009010521;0;1100
618800;2009010522;0;1100
618800;2009010523;0;1100
618800;2009010600;0;1100
618800;2009010601;0;1100
618800;2009010602;0;1100
618800;2009010603;0;1100
618800;2009010604;0;1100
618800;2009010605;0;1100
618800;2009010606;0;1100
618800;2009010607;0;1100
618800;2009010608;2;1100
618800;2009010609;14;1100
618800;2009010610;31;1100
618800;2009010611;51;1100
618800;2009010612;175;1100
618800;2009010613;121;1100
618800;2009010614;37;1100
618800;2009010615;8;1100
618800;2009010616;1;1100
618800;2009010617;0;1100
618800;2009010618;0;1100
618800;2009010619;0;1100
618800;2009010620;0;1100
618800;2009010621;0;1100
618800;2009010622;0;1100
618800;2009010623;0;1100
618800;2009010700;0;1100
618800;2009010701;0;1100
618800;2009010702;0;1100
618800;2009010703;0;1100
618800;2009010704;0;1100
618800;2009010705;0;1100
618800;2009010706;0;1100
618800;2009010707;0;1100
618800;2009010708;4;1100
618800;2009010709;50;1100
618800;2009010710;128;1100
618800;2009010711;172;1100
618800;2009010712;186;1100
618800;2009010713;164;1100
618800;2009010714;105;1100
618800;2009010715;22;1100
618800;2009010716;1;1100
618800;2009010717;0;1100
618800;2009010718;0;1100
618800;2009010719;0;1100
618800;2009010720;0;1100
618800;2009010721;0;1100
618800;2009010722;0;1100
618800;2009010723;0;1100
618800;2009010800;0;1100
618800;2009010801;0;1100
618800;2009010802;0;1100
618800;2009010803;0;1100
618800;2009010804;0;1100
618800;2009010805;0;1100
618800;2009010806;0;1100
618800;2009010807;0;1100
618800;2009010808;4;1100
618800;2009010809;27;1100
618800;2009010810;51;1100
618800;2009010811;67;1100
618800;2009010812;96;1100
618800;2009010813;90;1100
618800;2009010814;33;1100
618800;2009010815;6;1100
618800;2009010816;0;1100
618800;2009010817;0;1100
618800;2009010818;0;1100
618800;2009010819;0;1100
618800;2009010820;0;1100
618800;2009010821;0;1100
618800;2009010822;0;1100
618800;2009010823;0;1100
618800;2009010900;0;1100
618800;2009010901;0;1100
