statid;timeobs;relative_humidity_mean(%);label
610200;2009010100;98;1100
610200;2009010101;98;1100
610200;2009010102;98;1100
610200;2009010103;98;1100
610200;2009010104;98;1100
610200;2009010105;98;1100
610200;2009010106;98;1100
610200;2009010107;99;1100
610200;2009010108;98;1100
610200;2009010109;99;1100
610200;2009010110;99;1100
610200;2009010111;97;1100
610200;2009010112;95;1100
610200;2009010113;92;1100
610200;2009010114;92;1100
610200;2009010115;92;1100
610200;2009010116;92;1100
610200;2009010117;90;1100
610200;2009010118;90;1100
610200;2009010119;88;1100
610200;2009010120;88;1100
610200;2009010121;89;1100
610200;2009010122;90;1100
610200;2009010123;90;1100
610200;2009010200;90;1100
610200;2009010201;92;1100
610200;2009010202;92;1100
610200;2009010203;94;1100
610200;2009010204;95;1100
610200;2009010205;94;1100
610200;2009010206;92;1100
610200;2009010207;90;1100
610200;2009010208;91;1100
610200;2009010209;90;1100
610200;2009010210;85;1100
610200;2009010211;75;1100
610200;2009010212;71;1100
610200;2009010213;73;1100
610200;2009010214;69;1100
610200;2009010215;78;1100
610200;2009010216;85;1100
610200;2009010217;89;1100
610200;2009010218;93;1100
610200;2009010219;95;1100
610200;2009010220;96;1100
610200;2009010221;97;1100
610200;2009010222;96;1100
610200;2009010223;85;1100
610200;2009010300;81;1100
610200;2009010301;82;1100
610200;2009010302;89;1100
610200;2009010303;91;1100
610200;2009010304;94;1100
610200;2009010305;93;1100
610200;2009010306;94;1100
610200;2009010307;94;1100
610200;2009010308;95;1100
610200;2009010309;94;1100
610200;2009010310;93;1100
610200;2009010311;94;1100
610200;2009010312;94;1100
610200;2009010313;96;1100
610200;2009010314;96;1100
610200;2009010315;97;1100
610200;2009010316;90;1100
610200;2009010317;92;1100
610200;2009010318;92;1100
610200;2009010319;93;1100
610200;2009010320;94;1100
610200;2009010321;95;1100
610200;2009010322;96;1100
610200;2009010323;97;1100
610200;2009010400;98;1100
610200;2009010401;98;1100
610200;2009010402;98;1100
610200;2009010403;99;1100
610200;2009010404;99;1100
610200;2009010405;99;1100
610200;2009010406;98;1100
610200;2009010407;98;1100
610200;2009010408;97;1100
610200;2009010409;96;1100
610200;2009010410;90;1100
610200;2009010411;90;1100
610200;2009010412;92;1100
610200;2009010413;88;1100
610200;2009010414;87;1100
610200;2009010415;85;1100
610200;2009010416;82;1100
610200;2009010417;76;1100
610200;2009010418;80;1100
610200;2009010419;74;1100
610200;2009010420;76;1100
610200;2009010421;76;1100
610200;2009010422;77;1100
610200;2009010423;78;1100
610200;2009010500;79;1100
610200;2009010501;77;1100
610200;2009010502;77;1100
610200;2009010503;77;1100
610200;2009010504;77;1100
610200;2009010505;78;1100
610200;2009010506;81;1100
610200;2009010507;84;1100
610200;2009010508;85;1100
610200;2009010509;81;1100
610200;2009010510;75;1100
610200;2009010511;73;1100
610200;2009010512;69;1100
610200;2009010513;65;1100
610200;2009010514;65;1100
610200;2009010515;74;1100
610200;2009010516;81;1100
610200;2009010517;86;1100
610200;2009010518;90;1100
610200;2009010519;91;1100
610200;2009010520;91;1100
610200;2009010521;91;1100
610200;2009010522;92;1100
610200;2009010523;92;1100
610200;2009010600;91;1100
610200;2009010601;88;1100
610200;2009010602;88;1100
610200;2009010603;88;1100
610200;2009010604;89;1100
610200;2009010605;90;1100
610200;2009010606;89;1100
610200;2009010607;93;1100
610200;2009010608;95;1100
610200;2009010609;95;1100
610200;2009010610;88;1100
610200;2009010611;79;1100
610200;2009010612;75;1100
610200;2009010613;73;1100
610200;2009010614;72;1100
610200;2009010615;71;1100
610200;2009010616;73;1100
610200;2009010617;73;1100
610200;2009010618;69;1100
610200;2009010619;71;1100
610200;2009010620;87;1100
610200;2009010621;94;1100
610200;2009010622;95;1100
610200;2009010623;96;1100
610200;2009010700;94;1100
610200;2009010701;80;1100
610200;2009010702;77;1100
610200;2009010703;74;1100
610200;2009010704;70;1100
610200;2009010705;68;1100
610200;2009010706;69;1100
610200;2009010707;72;1100
610200;2009010708;73;1100
610200;2009010709;70;1100
610200;2009010710;66;1100
610200;2009010711;61;1100
610200;2009010712;60;1100
610200;2009010713;55;1100
610200;2009010714;56;1100
610200;2009010715;64;1100
610200;2009010716;67;1100
610200;2009010717;73;1100
610200;2009010718;78;1100
