statid;timeobs (UTC);vandtemperatur (°C);label
20303;2009010100;3.1;1100
20303;2009010101;3.3;1100
20303;2009010102;3.3;1100
20303;2009010103;3.3;1100
20303;2009010104;3.3;1100
20303;2009010105;3.3;1100
20303;2009010106;3.3;1100
20303;2009010107;3.1;1100
20303;2009010108;3.2;1100
20303;2009010109;3.2;1000
20303;2009010110;3.2;1100
20303;2009010111;3.3;1100
20303;2009010112;3.3;1100
20303;2009010113;3.3;1100
20303;2009010114;3.3;1100
20303;2009010115;3.2;1100
20303;2009010116;3.2;1100
20303;2009010117;3.2;1100
20303;2009010118;3.2;1100
20303;2009010119;3.2;1100
20303;2009010120;3.2;1100
20303;2009010121;3.2;1100
20303;2009010122;3.2;1100
20303;2009010123;3;1100
20303;2009010200;3.1;1100
20303;2009010201;3.1;1100
20303;2009010202;3.2;1100
20303;2009010203;3.2;1100
20303;2009010204;3.2;1100
20303;2009010205;3.2;1100
20303;2009010206;3.2;1100
20303;2009010207;2.9;1100
20303;2009010208;3;1100
20303;2009010209;3.1;1100
20303;2009010210;3;1100
20303;2009010211;2.8;1100
20303;2009010212;3;1100
20303;2009010213;2.9;1100
20303;2009010214;2.9;1100
20303;2009010215;3;1100
20303;2009010216;3.1;1100
20303;2009010217;2.8;1100
20303;2009010218;2.8;1100
20303;2009010219;2.9;1100
20303;2009010220;2.7;1100
20303;2009010221;2.6;1100
20303;2009010222;2.5;1100
20303;2009010223;2.7;1100
20303;2009010300;2.7;1100
20303;2009010301;2.6;1100
20303;2009010302;2.5;1100
20303;2009010303;2.6;1100
20303;2009010304;2.7;1100
20303;2009010305;2.5;1100
20303;2009010306;2.6;1100
20303;2009010307;2.6;1100
20303;2009010308;2.6;1100
20303;2009010309;2.6;1100
20303;2009010310;2.7;1100
20303;2009010311;2.8;1100
20303;2009010312;2.8;1100
20303;2009010313;2.8;1100
20303;2009010314;2.8;1100
20303;2009010315;2.8;1100
20303;2009010316;2.8;1100
20303;2009010317;2.8;1100
20303;2009010318;2.8;1100
20303;2009010319;2.8;1100
20303;2009010320;2.8;1100
20303;2009010321;2.8;1100
20303;2009010322;2.6;1100
20303;2009010323;2.8;1100
20303;2009010400;2.7;1100
20303;2009010401;2.8;1100
20303;2009010402;2.8;1100
