statid;timeobs;jordtemperatur 1m (°C);label
615600;20090101;5.1;1100
615600;20090102;4.8;1100
615600;20090103;4.6;1100
615600;20090104;4.4;1100
615600;20090105;4.2;1100
615600;20090106;4.0;1100
615600;20090107;3.8;1100
615600;20090108;3.7;1100
615600;20090109;3.6;1100
615600;20090110;3.6;1100
615600;20090111;3.7;1100
615600;20090112;3.7;1100
615600;20090113;3.7;1100
615600;20090114;3.7;1100
615600;20090115;3.7;1100
615600;20090116;3.7;1100
615600;20090117;3.7;1100
615600;20090118;3.5;1100
615600;20090119;3.4;1100
615600;20090120;3.4;1100
615600;20090121;3.3;1100
615600;20090122;3.2;1100
615600;20090123;3.1;1100
615600;20090124;3.0;1100
615600;20090125;2.9;1100
615600;20090126;2.8;1100
615600;20090127;2.8;1100
615600;20090128;2.9;1100
615600;20090129;3.0;1100
615600;20090130;3.1;1100
615600;20090131;3.2;1100
615600;20090201;3.3;1100
615600;20090202;3.3;1100
615600;20090203;3.4;1100
615600;20090204;3.5;1100
615600;20090205;3.5;1100
615600;20090206;3.5;1100
615600;20090207;3.5;1100
615600;20090208;3.6;1100
615600;20090209;3.7;1100
615600;20090210;3.7;1100
615600;20090211;3.7;1100
615600;20090212;3.8;1100
615600;20090213;3.7;1100
615600;20090214;3.7;1100
615600;20090215;3.6;1100
615600;20090216;3.5;1100
615600;20090217;3.4;1100
615600;20090218;3.3;1100
615600;20090219;3.2;1100
615600;20090220;3.2;1100
615600;20090221;3.3;1100
615600;20090222;3.3;1100
615600;20090223;3.4;1100
615600;20090224;3.5;1100
615600;20090225;3.5;1100
615600;20090226;3.6;1100
615600;20090227;3.5;1100
615600;20090228;3.4;1100
615600;20060301;3.3;1100
615600;20060302;3.2;1100
615600;20060303;3.1;1100
615600;20060304;3.0;1100
615600;20060305;2.9;1100
615600;20060306;2.8;1100
615600;20060307;2.8;1100
615600;20060308;2.7;1100
615600;20060309;2.8;1100
615600;20060310;2.8;1100
615600;20060311;2.9;1100
615600;20060312;3.1;1100
615600;20060313;3.3;1100
615600;20060314;3.5;1100
615600;20060315;3.5;1100
615600;20060316;3.4;1100
615600;20060317;3.4;1100
615600;20060318;3.3;1100
615600;20060319;3.1;1100
615600;20060320;2.9;1100
615600;20060321;2.7;1100
615600;20060322;2.7;1100
615600;20060323;2.7;1100
615600;20060324;2.6;1100
615600;20060325;2.6;1100
615600;20060326;2.6;1100
615600;20060327;2.5;1100
615600;20060328;2.5;1100
615600;20060329;2.5;1100
615600;20060330;2.4;1100
615600;20060331;2.4;1100
615600;20100401;2.4;1100
615600;20100402;2.4;1100
615600;20100403;2.4;1100
615600;20100404;2.4;1100
615600;20100405;2.4;1100
615600;20100406;2.4;1100
615600;20100407;2.4;1100
615600;20100408;2.5;1100
615600;20100409;2.5;1100
615600;20100410;2.7;1100
615600;20100411;3.0;1100
615600;20100412;3.3;1100
615600;20100413;3.6;1100
615600;20100414;4.0;1100
615600;20100415;4.5;1100
615600;20100416;4.9;1100
615600;20100417;5.3;1100
615600;20100418;5.5;1100
615600;20100419;5.6;1100
615600;20100420;5.8;1100
615600;20100421;5.9;1100
