statid;timeobs;temperature_mean(ºC);label
619700;2009010100;-1.2;1100
619700;2009010101;-1.2;1100
619700;2009010102;-1;1100
619700;2009010103;-0.8;1100
619700;2009010104;-0.4;1100
619700;2009010105;0.3;1100
619700;2009010106;0.6;1100
619700;2009010107;0.4;1100
619700;2009010108;0.5;1100
619700;2009010109;0.7;1100
619700;2009010110;1.3;1100
619700;2009010111;1.3;1100
619700;2009010112;1.5;1100
619700;2009010113;1.4;1100
619700;2009010114;1.1;1100
619700;2009010115;0.3;1100
619700;2009010116;0;1100
619700;2009010117;-0.7;1100
619700;2009010118;-1.6;1100
619700;2009010119;-1.8;1100
619700;2009010120;-1.9;1100
619700;2009010121;-2.5;1100
619700;2009010122;-2.5;1100
619700;2009010123;-2.5;1100
619700;2009010200;-3;1100
619700;2009010201;-3.6;1100
619700;2009010202;-3;1100
619700;2009010203;-4.3;1100
619700;2009010204;-4.4;1100
619700;2009010205;-3.6;1100
619700;2009010206;-3.2;1100
619700;2009010207;-3.3;1100
619700;2009010208;-3;1100
619700;2009010209;-2.2;1100
619700;2009010210;-1.4;1100
619700;2009010211;-0.9;1100
619700;2009010212;-0.5;1100
619700;2009010213;-0.4;1100
619700;2009010214;-0.3;1100
619700;2009010215;-0.9;1100
619700;2009010216;-2;1100
619700;2009010217;-2.1;1100
619700;2009010218;-2.5;1100
619700;2009010219;-3.3;1100
619700;2009010220;-3.6;1100
619700;2009010221;-3.3;1100
619700;2009010222;-3.5;1100
619700;2009010223;-3;1100
619700;2009010300;-1.9;1100
619700;2009010301;-1.2;1100
619700;2009010302;-1.1;1100
619700;2009010303;-0.5;1100
619700;2009010304;-0.1;1100
619700;2009010305;0.8;1100
619700;2009010306;1;1100
619700;2009010307;0.9;1100
619700;2009010308;0.8;1100
619700;2009010309;1.3;1100
619700;2009010310;1.6;1100
619700;2009010311;1.9;1100
619700;2009010312;2.3;1100
619700;2009010313;1.9;1100
619700;2009010314;1.7;1100
619700;2009010315;2.2;1100
619700;2009010316;2.9;1100
619700;2009010317;2.9;1100
619700;2009010318;2.7;1100
619700;2009010319;1.7;1100
619700;2009010320;1.5;1100
619700;2009010321;1.6;1100
619700;2009010322;1;1100
619700;2009010323;0.6;1100
619700;2009010400;0;1100
619700;2009010401;-0.3;1100
619700;2009010402;-0.5;1100
619700;2009010403;-0.3;1100
619700;2009010404;-0.5;1100
619700;2009010405;-0.3;1100
619700;2009010406;0.1;1100
619700;2009010407;-0.3;1100
619700;2009010408;-0.6;1100
619700;2009010409;-0.7;1100
619700;2009010410;-0.6;1100
619700;2009010411;0.3;1100
619700;2009010412;0.2;1100
619700;2009010413;-0.2;1100
619700;2009010414;-1.9;1100
619700;2009010415;-1.9;1100
619700;2009010416;-2.2;1100
619700;2009010417;-2.3;1100
619700;2009010418;-2.4;1100
619700;2009010419;-2.3;1100
619700;2009010420;-1.2;1100
619700;2009010421;-1.4;1100
619700;2009010422;-1.5;1100
619700;2009010423;-1.8;1100
619700;2009010500;-2.1;1100
619700;2009010501;-2.1;1100
619700;2009010502;-2.1;1100
619700;2009010503;-2.3;1100
619700;2009010504;-2.5;1100
619700;2009010505;-2.3;1100
619700;2009010506;-3.4;1100
619700;2009010507;-3.1;1100
619700;2009010508;-3;1100
619700;2009010509;-2.4;1100
619700;2009010510;-2.5;1100
619700;2009010511;-3.1;1100
619700;2009010512;-2.8;1100
619700;2009010513;-2.7;1100
619700;2009010514;-3.1;1100
619700;2009010515;-5.1;1100
619700;2009010516;-5.9;1100
619700;2009010517;-6.1;1100
619700;2009010518;-6.2;1100
619700;2009010519;-6.4;1100
619700;2009010520;-7.7;1100
619700;2009010521;-8.1;1100
619700;2009010522;-8.4;1100
619700;2009010523;-7.8;1100
619700;2009010600;-8.2;1100
619700;2009010601;-7.8;1100
619700;2009010602;-7.8;1100
619700;2009010603;-7.3;1100
619700;2009010604;-7.4;1100
619700;2009010605;-8.7;1100
619700;2009010606;-5.5;1100
619700;2009010607;-2.1;1100
619700;2009010608;-1.4;1100
619700;2009010609;-0.8;1100
619700;2009010610;-0.3;1100
619700;2009010611;0.1;1100
619700;2009010612;0.5;1100
619700;2009010613;0.7;1100
619700;2009010614;0.8;1100
619700;2009010615;1;1100
619700;2009010616;1.1;1100
619700;2009010617;1;1100
619700;2009010618;1;1100
619700;2009010619;1.3;1100
619700;2009010620;1.2;1100
619700;2009010621;0.5;1100
619700;2009010622;0.5;1100
619700;2009010623;0.6;1100
619700;2009010700;0.3;1100
619700;2009010701;-0.1;1100
619700;2009010702;-0.6;1100
619700;2009010703;-1.3;1100
619700;2009010704;-0.8;1100
619700;2009010705;0.6;1100
619700;2009010706;1.1;1100
619700;2009010707;2;1100
619700;2009010708;1.7;1100
619700;2009010709;1.5;1100
619700;2009010710;1.1;1100
619700;2009010711;0.5;1100
619700;2009010712;0.4;1100
619700;2009010713;0.2;1100
619700;2009010714;-0.1;1100
619700;2009010715;-0.4;1100
619700;2009010716;-1.2;1100
619700;2009010717;-1.2;1100
619700;2009010718;-1;1100
619700;2009010719;-1.3;1100
619700;2009010720;-1.8;1100
619700;2009010721;-2.3;1100
619700;2009010722;-2.6;1100
619700;2009010723;-3.8;1100
619700;2009010800;-4.5;1100
619700;2009010801;-4.4;1100
619700;2009010802;-4.7;1100
619700;2009010803;-5.1;1100
619700;2009010804;-5;1100
619700;2009010805;-5.1;1100
619700;2009010806;-4.6;1100
619700;2009010807;-6.1;1100
619700;2009010808;-5.9;1100
619700;2009010809;-2.9;1100
619700;2009010810;0.3;1100
619700;2009010811;0.9;1100
619700;2009010812;0.9;1100
619700;2009010813;1.1;1100
619700;2009010814;1.4;1100
619700;2009010815;1.1;1100
619700;2009010816;1.2;1100
619700;2009010817;1.9;1100
619700;2009010818;2;1100
619700;2009010819;2;1100
619700;2009010820;1.9;1100
619700;2009010821;1.8;1100
619700;2009010822;1.8;1100
619700;2009010823;2.3;1100
619700;2009010900;2.6;1100
619700;2009010901;2.9;1100
619700;2009010902;3.2;1100
619700;2009010903;3.1;1100
619700;2009010904;3.2;1100
619700;2009010905;3.2;1100
619700;2009010906;3.4;1100
619700;2009010907;3.5;1100
619700;2009010908;3.8;1100
619700;2009010909;3.7;1100
619700;2009010910;3.9;1100
619700;2009010911;4;1100
619700;2009010912;4.1;1100
619700;2009010913;4.2;1100
619700;2009010914;4.3;1100
619700;2009010915;4.2;1100
619700;2009010916;4.2;1100
619700;2009010917;4.2;1100
619700;2009010918;4.1;1100
619700;2009010919;4;1100
619700;2009010920;3.8;1100
619700;2009010921;3.6;1100
619700;2009010922;3.6;1100
619700;2009010923;3.5;1100
619700;2009011000;3.5;1100
619700;2009011001;3.5;1100
619700;2009011002;3.4;1100
619700;2009011003;3.2;1100
619700;2009011004;3.1;1100
619700;2009011005;3;1100
619700;2009011006;3;1100
619700;2009011007;3;1100
619700;2009011008;2.9;1100
