statid;timeobs (UTC);vindretning (°);label
0° is quiet, 360° is wind from north, 90° is wind from east etc.
612300;2009010100;286;1100
612300;2009010101;291;1100
612300;2009010102;308;1100
612300;2009010103;324;1100
612300;2009010104;337;1100
612300;2009010105;340;1100
612300;2009010106;339;1100
612300;2009010107;352;1100
612300;2009010108;13;1100
612300;2009010109;11;1100
612300;2009010110;27;1100
612300;2009010111;15;1100
612300;2009010112;7;1100
612300;2009010113;14;1100
612300;2009010114;24;1100
612300;2009010115;56;1100
612300;2009010116;74;1100
612300;2009010117;74;1100
612300;2009010118;82;1100
612300;2009010119;81;1100
612300;2009010120;73;1100
612300;2009010121;60;1100
612300;2009010122;68;1100
612300;2009010123;73;1100
612300;2009010200;70;1100
612300;2009010201;64;1100
612300;2009010202;63;1100
612300;2009010203;65;1100
612300;2009010204;32;1100
612300;2009010205;19;1100
612300;2009010206;32;1100
612300;2009010207;28;1100
612300;2009010208;35;1100
612300;2009010209;25;1100
612300;2009010210;28;1100
612300;2009010211;8;1100
612300;2009010212;18;1100
612300;2009010213;9;1100
612300;2009010214;14;1100
612300;2009010215;13;1100
612300;2009010216;23;1100
612300;2009010217;327;1100
612300;2009010218;303;1100
612300;2009010219;302;1100
612300;2009010220;295;1100
612300;2009010221;294;1100
612300;2009010222;293;1100
612300;2009010223;285;1100
612300;2009010300;274;1100
612300;2009010301;262;1100
612300;2009010302;264;1100
612300;2009010303;264;1100
612300;2009010304;269;1100
612300;2009010305;280;1100
612300;2009010306;284;1100
612300;2009010307;279;1100
612300;2009010308;275;1100
612300;2009010309;268;1100
612300;2009010310;274;1100
612300;2009010311;273;1100
612300;2009010312;281;1100
612300;2009010313;283;1100
612300;2009010314;285;1100
612300;2009010315;283;1100
612300;2009010316;292;1100
612300;2009010317;306;1100
612300;2009010318;321;1100
612300;2009010319;314;1100
612300;2009010320;314;1100
612300;2009010321;321;1100
612300;2009010322;327;1100
612300;2009010323;328;1100
612300;2009010400;334;1100
612300;2009010401;319;1100
612300;2009010402;336;1100
612300;2009010403;33;1100
612300;2009010404;49;1100
612300;2009010405;54;1100
612300;2009010406;101;1100
612300;2009010407;161;1100
612300;2009010408;84;1100
612300;2009010409;114;1100
612300;2009010410;82;1100
612300;2009010411;75;1100
612300;2009010412;76;1100
612300;2009010413;82;1100
612300;2009010414;72;1100
612300;2009010415;60;1100
612300;2009010416;51;1100
612300;2009010417;54;1100
612300;2009010418;61;1100
612300;2009010419;63;1100
612300;2009010420;62;1100
612300;2009010421;66;1100
612300;2009010422;59;1100
612300;2009010423;52;1100
612300;2009010500;60;1100
612300;2009010501;34;1100
612300;2009010502;34;1100
612300;2009010503;32;1100
612300;2009010504;42;1100
612300;2009010505;38;1100
612300;2009010506;39;1100
612300;2009010507;50;1100
612300;2009010508;47;1100
612300;2009010509;68;1100
612300;2009010510;57;1100
612300;2009010511;32;1100
612300;2009010512;54;1100
612300;2009010513;32;1100
612300;2009010514;13;1100
612300;2009010515;15;1100
612300;2009010516;21;1100
612300;2009010517;24;1100
612300;2009010518;32;1100
612300;2009010519;51;1100
612300;2009010520;36;1100
612300;2009010521;43;1100
612300;2009010522;14;1100
612300;2009010523;285;1100
612300;2009010600;278;1100
612300;2009010601;263;1100
612300;2009010602;269;1100
612300;2009010603;261;1100
612300;2009010604;257;1100
612300;2009010605;252;1100
612300;2009010606;257;1100
612300;2009010607;257;1100
612300;2009010608;260;1100
612300;2009010609;262;1100
612300;2009010610;256;1100
612300;2009010611;263;1100
612300;2009010612;263;1100
612300;2009010613;258;1100
612300;2009010614;268;1100
612300;2009010615;266;1100
612300;2009010616;257;1100
612300;2009010617;253;1100
612300;2009010618;253;1100
612300;2009010619;248;1100
612300;2009010620;248;1100
612300;2009010621;249;1100
612300;2009010622;253;1100
612300;2009010623;250;1100
612300;2009010700;254;1100
612300;2009010701;263;1100
612300;2009010702;290;1100
612300;2009010703;307;1100
612300;2009010704;311;1100
612300;2009010705;316;1100
612300;2009010706;335;1100
612300;2009010707;334;1100
612300;2009010708;336;1100
612300;2009010709;327;1100
612300;2009010710;335;1100
612300;2009010711;333;1100
612300;2009010712;335;1100
612300;2009010713;337;1100
612300;2009010714;345;1100
612300;2009010715;345;1100
612300;2009010716;357;1100
612300;2009010717;2;1100
612300;2009010718;340;1100
612300;2009010719;359;1100
612300;2009010720;346;1100
612300;2009010721;332;1100
612300;2009010722;348;1100
612300;2009010723;323;1100
612300;2009010800;311;1100
612300;2009010801;324;1100
612300;2009010802;207;1100
612300;2009010803;248;1100
612300;2009010804;247;1100
612300;2009010805;243;1100
612300;2009010806;243;1100
612300;2009010807;240;1100
612300;2009010808;236;1100
612300;2009010809;236;1100
612300;2009010810;236;1100
612300;2009010811;241;1100
612300;2009010812;242;1100
612300;2009010813;242;1100
612300;2009010814;237;1100
612300;2009010815;239;1100
612300;2009010816;242;1100
612300;2009010817;248;1100
612300;2009010818;249;1100
612300;2009010819;255;1100
612300;2009010820;251;1100
612300;2009010821;251;1100
612300;2009010822;249;1100
612300;2009010823;259;1100
612300;2009010900;265;1100
612300;2009010901;274;1100
612300;2009010902;275;1100
612300;2009010903;277;1100
612300;2009010904;274;1100
612300;2009010905;275;1100
612300;2009010906;283;1100
612300;2009010907;279;1100
612300;2009010908;276;1100
612300;2009010909;284;1100
612300;2009010910;282;1100
612300;2009010911;277;1100
612300;2009010912;285;1100
612300;2009010913;295;1100
612300;2009010914;285;1100
612300;2009010915;283;1100
612300;2009010916;283;1100
612300;2009010917;283;1100
612300;2009010918;273;1100
612300;2009010919;267;1100
612300;2009010920;274;1100
612300;2009010921;272;1100
612300;2009010922;271;1100
612300;2009010923;277;1100
612300;2009011000;274;1100
612300;2009011001;289;1100
612300;2009011002;196;1100
612300;2009011003;226;1100
612300;2009011004;240;1100
612300;2009011005;234;1100
612300;2009011006;231;1100
612300;2009011007;232;1100
612300;2009011008;224;1100
612300;2009011009;223;1100
612300;2009011010;227;1100
612300;2009011011;225;1100
612300;2009011012;227;1100
612300;2009011013;222;1100
612300;2009011014;218;1100
612300;2009011015;213;1100
612300;2009011016;197;1100
612300;2009011017;183;1100
612300;2009011018;180;1100
612300;2009011019;180;1100
612300;2009011020;208;1100
612300;2009011021;219;1100
612300;2009011022;217;1100
612300;2009011023;204;1100
612300;2009011100;200;1100
612300;2009011101;201;1100
612300;2009011102;211;1100
612300;2009011103;224;1100
612300;2009011104;231;1100
612300;2009011105;224;1100
612300;2009011106;223;1100
612300;2009011107;223;1100
612300;2009011108;214;1100
612300;2009011109;216;1100
612300;2009011110;222;1100
612300;2009011111;219;1100
612300;2009011112;216;1100
612300;2009011113;220;1100
612300;2009011114;225;1100
612300;2009011115;226;1100
612300;2009011116;223;1100
612300;2009011117;224;1100
612300;2009011118;220;1100
612300;2009011119;221;1100
612300;2009011120;219;1100
612300;2009011121;220;1100
612300;2009011122;219;1100
612300;2009011123;217;1100
612300;2009011200;218;1100
612300;2009011201;217;1100
612300;2009011202;213;1100
612300;2009011203;216;1100
612300;2009011204;221;1100
612300;2009011205;221;1100
612300;2009011206;220;1100
612300;2009011207;220;1100
612300;2009011208;221;1100
612300;2009011209;210.9;1000
612300;2009011210;218;1100
612300;2009011211;215.5;1000
612300;2009011212;214.9;1000
612300;2009011213;227;1100
612300;2009011214;230;1100
612300;2009011215;215.2;1000
612300;2009011216;227;1100
612300;2009011217;223;1100
612300;2009011218;206.2;1000
612300;2009011219;220;1100
612300;2009011220;217;1100
612300;2009011221;216;1100
612300;2009011222;220;1100
612300;2009011223;219;1100
612300;2009011300;220;1100
612300;2009011301;222;1100
612300;2009011302;220;1100
612300;2009011303;220;1100
612300;2009011304;221;1100
612300;2009011305;225;1100
612300;2009011306;228;1100
612300;2009011307;231;1100
612300;2009011308;232;1100
612300;2009011309;230;1100
612300;2009011310;226;1100
612300;2009011311;226;1100
612300;2009011312;233;1100
612300;2009011313;235;1100
612300;2009011314;232;1100
612300;2009011315;228;1100
612300;2009011316;227;1100
612300;2009011317;228;1100
612300;2009011318;223;1100
612300;2009011319;222;1100
612300;2009011320;216;1100
612300;2009011321;214;1100
612300;2009011322;218;1100
612300;2009011323;216;1100
612300;2009011400;214;1100
612300;2009011401;217;1100
612300;2009011402;219;1100
612300;2009011403;218;1100
612300;2009011404;214;1100
612300;2009011405;221;1100
612300;2009011406;229;1100
612300;2009011407;238;1100
612300;2009011408;241;1100
612300;2009011409;230;1100
612300;2009011410;231;1100
612300;2009011411;199;1100
612300;2009011412;229;1100
612300;2009011413;213;1100
612300;2009011414;250;1100
612300;2009011415;244;1100
612300;2009011416;0;1100
612300;2009011417;294;1100
612300;2009011418;315;1100
612300;2009011419;290;1100
612300;2009011420;329;1100
612300;2009011421;346;1100
612300;2009011422;292;1100
612300;2009011423;279;1100
612300;2009011500;303;1100
612300;2009011501;334;1100
612300;2009011502;323;1100
612300;2009011503;212;1100
612300;2009011504;205;1100
612300;2009011505;255;1100
612300;2009011506;260;1100
612300;2009011507;250;1100
612300;2009011508;250;1100
612300;2009011509;279;1100
612300;2009011510;224;1100
612300;2009011511;214;1100
612300;2009011512;219;1100
612300;2009011513;135;1100
612300;2009011514;283;1100
612300;2009011515;62;1100
612300;2009011516;155;1100
612300;2009011517;149;1100
612300;2009011518;97;1100
612300;2009011519;105;1100
612300;2009011520;128;1100
612300;2009011521;125;1100
612300;2009011522;123;1100
612300;2009011523;121;1100
612300;2009011600;140;1100
612300;2009011601;149;1100
612300;2009011602;150;1100
612300;2009011603;145;1100
612300;2009011604;132;1100
612300;2009011605;133;1100
612300;2009011606;134;1100
612300;2009011607;140;1100
612300;2009011608;150;1100
612300;2009011609;146;1100
612300;2009011610;145;1100
612300;2009011611;152;1100
612300;2009011612;145;1100
612300;2009011613;141;1100
612300;2009011614;143;1100
612300;2009011615;140;1100
612300;2009011616;143;1100
612300;2009011617;144;1100
612300;2009011618;140;1100
612300;2009011619;142;1100
612300;2009011620;148;1100
612300;2009011621;152;1100
612300;2009011622;157;1100
612300;2009011623;164;1100
612300;2009011700;163;1100
612300;2009011701;162;1100
612300;2009011702;159;1100
612300;2009011703;163;1100
612300;2009011704;161;1100
612300;2009011705;156;1100
612300;2009011706;151;1100
612300;2009011707;150;1100
612300;2009011708;151;1100
612300;2009011709;149;1100
612300;2009011710;144;1100
612300;2009011711;144;1100
612300;2009011712;149;1100
612300;2009011713;143;1100
612300;2009011714;143;1100
612300;2009011715;141;1100
612300;2009011716;144;1100
612300;2009011717;146;1100
612300;2009011718;152;1100
612300;2009011719;150;1100
612300;2009011720;150;1100
612300;2009011721;150;1100
612300;2009011722;148;1100
612300;2009011723;159;1100
612300;2009011800;168;1100
612300;2009011801;172;1100
612300;2009011802;182;1100
612300;2009011803;166;1100
612300;2009011804;150;1100
612300;2009011805;159;1100
612300;2009011806;154;1100
612300;2009011807;152;1100
612300;2009011808;150;1100
612300;2009011809;153;1100
612300;2009011810;153;1100
612300;2009011811;158;1100
612300;2009011812;157;1100
612300;2009011813;151;1100
612300;2009011814;153;1100
612300;2009011815;162;1100
612300;2009011816;160;1100
612300;2009011817;152;1100
612300;2009011818;172;1100
612300;2009011819;201;1100
612300;2009011820;225;1100
612300;2009011821;260;1100
612300;2009011822;249;1100
612300;2009011823;258;1100
612300;2009011900;249;1100
612300;2009011901;245;1100
612300;2009011902;234;1100
612300;2009011903;226;1100
612300;2009011904;214;1100
612300;2009011905;216;1100
612300;2009011906;221;1100
612300;2009011907;215;1100
612300;2009011908;210;1100
612300;2009011909;198;1100
612300;2009011910;193;1100
612300;2009011911;178;1100
612300;2009011912;149;1100
612300;2009011913;143;1100
612300;2009011914;139;1100
612300;2009011915;132;1100
612300;2009011916;130;1100
612300;2009011917;125.6;1000
612300;2009011918;130.9;1000
612300;2009011919;134.4;1000
612300;2009011920;145;1100
612300;2009011921;151.6;1000
612300;2009011922;158;1100
612300;2009011923;155;1100
612300;2009012000;152;1000
612300;2009012001;154;1100
612300;2009012002;195;1100
612300;2009012003;212;1100
612300;2009012004;227;1100
612300;2009012005;234;1100
612300;2009012006;227;1100
612300;2009012007;226;1100
612300;2009012008;227;1100
612300;2009012009;216;1100
612300;2009012010;213;1100
612300;2009012011;203;1100
612300;2009012012;205;1100
612300;2009012013;204;1100
612300;2009012014;225;1100
612300;2009012015;225;1100
612300;2009012016;219;1100
612300;2009012017;220;1100
612300;2009012018;221;1100
612300;2009012019;217;1100
612300;2009012020;220;1100
612300;2009012021;214;1100
612300;2009012022;198;1100
612300;2009012023;168;1100
612300;2009012100;178;1100
612300;2009012101;173;1100
612300;2009012102;169;1100
612300;2009012103;168;1100
612300;2009012104;195;1100
612300;2009012105;186;1100
612300;2009012106;194;1100
612300;2009012107;183;1100
612300;2009012108;164;1100
612300;2009012109;178;1100
612300;2009012110;166;1100
612300;2009012111;162;1100
612300;2009012112;159;1100
612300;2009012113;159;1100
612300;2009012114;150;1100
612300;2009012115;140;1100
612300;2009012116;148;1100
612300;2009012117;146;1100
