statid;timeobs;wind_speed_mean(m/s);label
605200;2009010100;9.2;1100
605200;2009010101;9.4;1100
605200;2009010102;8.1;1100
605200;2009010103;7.2;1100
605200;2009010104;7.1;1100
605200;2009010105;4.4;1100
605200;2009010106;4.1;1100
605200;2009010107;2.8;1100
605200;2009010108;4.6;1100
605200;2009010109;5.3;1100
605200;2009010110;6;1100
605200;2009010111;5.1;1100
605200;2009010112;4.8;1100
605200;2009010113;4.2;1100
605200;2009010114;5.1;1100
605200;2009010115;4.6;1100
605200;2009010116;3.9;1100
605200;2009010117;3.8;1100
605200;2009010118;3.9;1100
605200;2009010119;3.1;1100
605200;2009010120;2.9;1100
605200;2009010121;3.6;1100
605200;2009010122;2.7;1100
605200;2009010123;2.1;1100
605200;2009010200;1.3;1100
605200;2009010201;0.5;1100
605200;2009010202;0.3;1100
605200;2009010203;1;1100
605200;2009010204;2.6;1100
605200;2009010205;3.2;1100
605200;2009010206;3.7;1100
605200;2009010207;2.2;1100
605200;2009010208;1;1100
605200;2009010209;1.5;1100
605200;2009010210;1.2;1100
605200;2009010211;2.1;1100
605200;2009010212;1.6;1100
605200;2009010213;0.9;1100
605200;2009010214;0.4;1100
605200;2009010215;1;1100
605200;2009010216;2.5;1100
605200;2009010217;5;1100
605200;2009010218;7.2;1100
605200;2009010219;9.6;1100
605200;2009010220;10.6;1100
605200;2009010221;12.4;1100
605200;2009010222;11.8;1100
605200;2009010223;11.6;1100
605200;2009010300;11.5;1100
605200;2009010301;11.8;1100
605200;2009010302;12.5;1100
605200;2009010303;12.3;1100
605200;2009010304;11.9;1100
605200;2009010305;11.7;1100
605200;2009010306;12.5;1100
605200;2009010307;12.1;1100
605200;2009010308;13;1100
605200;2009010309;13.7;1100
605200;2009010310;15.1;1100
605200;2009010311;13.9;1100
605200;2009010312;15.2;1100
605200;2009010313;14.5;1100
605200;2009010314;12.9;1100
605200;2009010315;14.5;1100
605200;2009010316;13.5;1100
605200;2009010317;11.1;1100
605200;2009010318;10.8;1100
605200;2009010319;9.5;1100
605200;2009010320;8.8;1100
605200;2009010321;8;1100
605200;2009010322;5.3;1100
605200;2009010323;2.8;1100
605200;2009010400;2.2;1100
605200;2009010401;2.3;1100
605200;2009010402;2.7;1100
605200;2009010403;3.2;1100
605200;2009010404;4.9;1100
605200;2009010405;5;1100
605200;2009010406;5;1100
605200;2009010407;5.3;1100
605200;2009010408;5.5;1100
605200;2009010409;5.1;1100
605200;2009010410;5.5;1100
605200;2009010411;4.6;1100
605200;2009010412;6.6;1100
605200;2009010413;7.5;1100
605200;2009010414;7.5;1100
605200;2009010415;7.2;1100
605200;2009010416;7.3;1100
605200;2009010417;6.9;1100
605200;2009010418;6.6;1100
605200;2009010419;6;1100
605200;2009010420;5;1100
605200;2009010421;5.4;1100
605200;2009010422;4.9;1100
605200;2009010423;3.4;1100
605200;2009010500;3.8;1100
605200;2009010501;3.1;1100
605200;2009010502;3.8;1100
605200;2009010503;4.8;1100
605200;2009010504;4.7;1100
605200;2009010505;3.6;1100
605200;2009010506;2.2;1100
605200;2009010507;1.3;1100
605200;2009010508;0;1100
605200;2009010509;0;1100
605200;2009010510;0;1100
605200;2009010511;0;1100
605200;2009010512;0.4;1100
605200;2009010513;0.8;1100
605200;2009010514;0;1100
605200;2009010515;0;1100
605200;2009010516;1.5;1100
605200;2009010517;3.1;1100
605200;2009010518;3.6;1100
605200;2009010519;3.8;1100
605200;2009010520;4.5;1100
605200;2009010521;5.8;1100
605200;2009010522;7.9;1100
605200;2009010523;6.6;1100
605200;2009010600;6.8;1100
605200;2009010601;7.4;1100
605200;2009010602;8;1100
605200;2009010603;8.8;1100
605200;2009010604;10.5;1100
605200;2009010605;8.9;1100
605200;2009010606;13;1100
605200;2009010607;12.6;1100
605200;2009010608;11.5;1100
605200;2009010609;12.6;1100
605200;2009010610;13.7;1100
605200;2009010611;13.3;1100
605200;2009010612;14.2;1100
605200;2009010613;15.1;1100
605200;2009010614;15.1;1100
605200;2009010615;15.3;1100
605200;2009010616;15.2;1100
605200;2009010617;15.3;1100
605200;2009010618;14.6;1100
605200;2009010619;14.4;1100
605200;2009010620;13.4;1100
605200;2009010621;14.1;1100
605200;2009010622;15.6;1100
605200;2009010623;16.2;1100
605200;2009010700;17.6;1100
605200;2009010701;16.6;1100
605200;2009010702;16.7;1100
605200;2009010703;14.9;1100
605200;2009010704;14;1100
605200;2009010705;13.2;1100
605200;2009010706;12.8;1100
605200;2009010707;12.1;1100
605200;2009010708;11.5;1100
605200;2009010709;11.4;1100
605200;2009010710;9.9;1100
605200;2009010711;8.8;1100
605200;2009010712;7.5;1100
605200;2009010713;6.2;1100
605200;2009010714;4.1;1100
605200;2009010715;2.7;1100
605200;2009010716;2.4;1100
605200;2009010717;3.2;1100
605200;2009010718;2.1;1100
605200;2009010719;2.3;1100
605200;2009010720;2.1;1100
605200;2009010721;0.5;1100
605200;2009010722;2.1;1100
605200;2009010723;3.2;1100
605200;2009010800;5.7;1100
605200;2009010801;5.7;1100
605200;2009010802;5.9;1100
605200;2009010803;7;1100
605200;2009010804;9.1;1100
605200;2009010805;10.2;1100
605200;2009010806;11.8;1100
605200;2009010807;12.7;1100
605200;2009010808;12.8;1100
605200;2009010809;12.5;1100
605200;2009010810;12.1;1100
605200;2009010811;11.6;1100
605200;2009010812;11.1;1100
605200;2009010813;11.1;1100
605200;2009010814;10;1100
605200;2009010815;9.3;1100
605200;2009010816;9.4;1100
605200;2009010817;9;1100
605200;2009010818;8.7;1100
605200;2009010819;10.9;1100
605200;2009010820;10.6;1100
605200;2009010821;10.3;1100
605200;2009010822;10;1100
605200;2009010823;10.3;1100
605200;2009010900;10.4;1100
605200;2009010901;10;1100
605200;2009010902;10.1;1100
605200;2009010903;11.1;1100
605200;2009010904;10.8;1100
605200;2009010905;10.5;1100
605200;2009010906;9.9;1100
605200;2009010907;10.4;1100
605200;2009010908;10;1100
605200;2009010909;9.5;1100
605200;2009010910;8.6;1100
605200;2009010911;7.8;1100
605200;2009010912;7.8;1100
605200;2009010913;7.7;1100
605200;2009010914;6.6;1100
605200;2009010915;6.1;1100
605200;2009010916;6.7;1100
605200;2009010917;6;1100
605200;2009010918;5.6;1100
605200;2009010919;5.6;1100
605200;2009010920;5.1;1100
605200;2009010921;5.9;1100
605200;2009010922;5.8;1100
605200;2009010923;6.6;1100
605200;2009011000;6.5;1100
605200;2009011001;5.8;1100
605200;2009011002;6.5;1100
605200;2009011003;5.5;1100
605200;2009011004;5.2;1100
605200;2009011005;5;1100
605200;2009011006;5.5;1100
605200;2009011007;6.1;1100
605200;2009011008;6.3;1100
605200;2009011009;5.9;1100
605200;2009011010;5.6;1100
605200;2009011011;5.4;1100
605200;2009011012;6.3;1100
605200;2009011013;6.3;1100
605200;2009011014;6.9;1100
605200;2009011015;8.8;1100
605200;2009011016;8.2;1100
605200;2009011017;8.3;1100
605200;2009011018;8.6;1100
605200;2009011019;7.8;1100
605200;2009011020;7.3;1100
605200;2009011021;7;1100
605200;2009011022;6.6;1100
605200;2009011023;7.3;1100
605200;2009011100;8.3;1100
605200;2009011101;8.6;1100
605200;2009011102;8.6;1100
605200;2009011103;9.1;1100
605200;2009011104;9.3;1100
605200;2009011105;9.4;1100
605200;2009011106;9.4;1100
605200;2009011107;9.3;1100
605200;2009011108;9.6;1100
605200;2009011109;10;1100
605200;2009011110;9.9;1100
605200;2009011111;10.2;1100
605200;2009011112;10.9;1100
605200;2009011113;10.2;1100
605200;2009011114;9.9;1100
605200;2009011115;9.6;1100
605200;2009011116;10.9;1100
605200;2009011117;11.4;1100
605200;2009011118;11.8;1100
605200;2009011119;12.5;1100
605200;2009011120;12.9;1100
605200;2009011121;11.8;1100
605200;2009011122;11.9;1100
605200;2009011123;10.8;1100
605200;2009011200;11.1;1100
605200;2009011201;11.7;1100
605200;2009011202;11;1100
605200;2009011203;11.2;1100
605200;2009011204;11;1100
605200;2009011205;11;1100
605200;2009011206;10.8;1100
605200;2009011207;11.1;1100
605200;2009011208;11.4;1100
605200;2009011209;11;1100
605200;2009011210;11.5;1100
605200;2009011211;10.8;1100
605200;2009011212;9.7;1100
605200;2009011213;9.1;1100
605200;2009011214;9;1100
605200;2009011215;9.2;1100
605200;2009011216;9.8;1100
605200;2009011217;8;1100
605200;2009011218;7.6;1100
605200;2009011219;7;1100
605200;2009011220;7.2;1100
605200;2009011221;7.3;1100
605200;2009011222;7.4;1100
605200;2009011223;7.2;1100
605200;2009011300;6.6;1100
605200;2009011301;6.2;1100
605200;2009011302;6.1;1100
605200;2009011303;5.6;1100
605200;2009011304;5;1100
605200;2009011305;5.5;1100
605200;2009011306;5.6;1100
605200;2009011307;4.6;1100
605200;2009011308;5.4;1100
605200;2009011309;6;1100
605200;2009011310;5.6;1100
605200;2009011311;5.2;1100
605200;2009011312;5.3;1100
605200;2009011313;5.7;1100
605200;2009011314;5.5;1100
605200;2009011315;4.4;1100
605200;2009011316;4.4;1100
605200;2009011317;4;1100
605200;2009011318;4.6;1100
605200;2009011319;4.2;1100
605200;2009011320;3.4;1100
605200;2009011321;3.2;1100
605200;2009011322;3.3;1100
605200;2009011323;2.7;1100
605200;2009011400;2.4;1100
605200;2009011401;2.1;1100
605200;2009011402;0.9;1100
605200;2009011403;1;1100
605200;2009011404;0.9;1100
