month;day;radiation_mean(MJ/m^2)
1;1;1.4
1;2;1.2
1;3;1.4
1;4;1.2
1;5;1.3
1;6;1.3
1;7;1.3
1;8;1.5
1;9;1.4
1;10;0.8
1;11;1.4
1;12;1.4
1;13;1.5
1;14;1.9
1;15;1.1
1;16;1.5
1;17;1
1;18;1
1;19;1.8
1;20;1.3
1;21;1.9
1;22;3
1;23;1.9
1;24;2.2
1;25;2.3
1;26;2.7
1;27;2.7
1;28;2.6
1;29;2.7
1;30;3.1
1;31;2.7
2;1;3.3
2;2;2.4
2;3;2.5
2;4;3
2;5;2.7
2;6;2.8
2;7;3
2;8;3.5
2;9;4
2;10;3.8
2;11;4.4
2;12;2.5
2;13;5.2
2;14;4.9
2;15;4.3
2;16;3.8
2;17;3.9
2;18;4
2;19;4
2;20;5.1
2;21;3.9
2;22;3.5
2;23;5.7
2;24;5.2
2;25;4.7
2;26;5.2
2;27;7.5
2;28;5.4
3;1;5.1
3;2;6.5
3;3;6.8
3;4;7.8
3;5;6.4
3;6;6.8
3;7;7.2
3;8;8.4
3;9;5.6
3;10;7.4
3;11;7.9
3;12;8.2
3;13;7.5
3;14;9.4
3;15;9.6
3;16;7.2
3;17;11.5
3;18;9.9
3;19;12.1
3;20;11.2
3;21;10.2
3;22;13.1
3;23;10.3
3;24;12.1
3;25;12.7
3;26;10.5
3;27;10.7
3;28;10.6
3;29;10.8
3;30;11.5
3;31;12
4;1;11.9
4;2;12.9
4;3;14.2
4;4;10.3
4;5;12.8
4;6;10.9
4;7;12.9
4;8;9.9
4;9;14
4;10;15.2
4;11;15.5
4;12;13.6
4;13;14.4
4;14;14.5
4;15;17.2
4;16;17.9
4;17;15.7
4;18;19.2
4;19;16.5
4;20;19.2
4;21;18.1
4;22;16.5
4;23;16.3
4;24;19.7
4;25;16.4
4;26;11.7
4;27;12.7
4;28;14.6
4;29;14.8
4;30;14.7
5;1;16.7
5;2;17.5
5;3;17.1
5;4;17.2
5;5;16.2
5;6;19.3
5;7;18.4
5;8;15.6
5;9;23
5;10;20.1
5;11;20.5
5;12;18.7
5;13;17.9
5;14;19
5;15;19
5;16;14.2
5;17;18.4
5;18;17.7
5;19;18.5
