month;day;rediation_mean(MJ/m^2)
1;1;1.5
1;2;1.4
1;3;1.6
1;4;1.3
1;5;1.9
1;6;1.5
1;7;1.2
1;8;1.7
1;9;1.5
1;10;1.4
1;11;1.4
1;12;1.8
1;13;1.2
1;14;2
1;15;1.9
1;16;1.7
1;17;1
1;18;1.1
1;19;1.6
1;20;1.3
1;21;1.9
1;22;2.3
1;23;2.8
1;24;2.5
1;25;2.4
1;26;1.7
1;27;2.4
1;28;2.4
1;29;2.1
1;30;2
1;31;3
2;1;2.8
2;2;2.6
2;3;3.7
2;4;3.1
2;5;3.5
2;6;3
2;7;3.1
2;8;3.7
2;9;3.4
2;10;3
2;11;3.7
2;12;3.1
2;13;2.6
2;14;3.2
2;15;4.4
2;16;4.6
2;17;3.3
2;18;5.1
2;19;4.9
2;20;4.9
2;21;3.1
2;22;4.3
2;23;4.7
2;24;4.5
2;25;4.6
2;26;5.3
2;27;6.5
2;28;6.7
3;1;4.3
3;2;5.4
3;3;5.6
3;4;8.8
3;5;9.3
3;6;7
3;7;6.1
3;8;6.7
3;9;7.7
3;10;6.6
3;11;6.6
3;12;8.7
3;13;9.8
3;14;8.9
3;15;7.9
3;16;9.7
3;17;9.7
3;18;9.8
3;19;10
3;20;9.9
3;21;8.7
3;22;8.1
3;23;11.8
3;24;12.1
3;25;12.5
3;26;10.4
3;27;10.5
3;28;14
3;29;12
3;30;13.2
3;31;13.9
4;1;14.3
4;2;15.6
4;3;13.9
4;4;12.6
4;5;11.5
4;6;15.1
4;7;14.1
4;8;11
4;9;13.7
4;10;13.9
4;11;17.1
4;12;14.4
4;13;17.7
4;14;18.7
4;15;18.8
4;16;16.2
4;17;17
4;18;17.2
4;19;19.2
4;20;19.1
4;21;19.5
4;22;21.7
4;23;16.9
4;24;19.9
4;25;20.9
4;26;17
4;27;15.9
4;28;17.8
4;29;17.8
4;30;17.2
5;1;14.6
5;2;19.7
5;3;18.5
5;4;18.2
5;5;20.8
5;6;18.5
5;7;17.8
5;8;18.2
5;9;22.2
5;10;23.1
5;11;20.1
5;12;19.3
5;13;23.3
5;14;22.8
5;15;19.4
5;16;17.2
5;17;19.5
5;18;19.8
5;19;19.1
5;20;22.5
5;21;23
5;22;23
5;23;18.6
5;24;24.8
5;25;24.4
5;26;23.1
5;27;22.1
5;28;23
5;29;24.8
5;30;20.6
5;31;22.5
6;1;21.7
6;2;22.9
6;3;22.5
6;4;24.7
6;5;23.2
6;6;25.1
6;7;19.9
6;8;26.4
6;9;22.6
6;10;23.4
6;11;21.5
6;12;23.3
6;13;22.6
6;14;24.5
6;15;18.7
6;16;24.5
6;17;22.1
6;18;21.1
6;19;22.1
6;20;26.8
6;21;24.4
6;22;22.1
6;23;20.5
6;24;23.9
6;25;19.1
6;26;23.1
6;27;20.7
6;28;22.4
6;29;21.2
6;30;23.2
7;1;23
7;2;25.7
7;3;24.5
7;4;24.8
7;5;20.5
7;6;20
7;7;23.2
7;8;21.2
7;9;22.9
7;10;22.8
7;11;22.1
7;12;23.5
7;13;20.9
7;14;24
7;15;21
7;16;25.7
7;17;21.5
7;18;18.6
7;19;20.6
7;20;23.7
7;21;16.2
7;22;15.5
7;23;17.6
7;24;15.9
7;25;17
7;26;20.3
7;27;22.8
7;28;17.7
7;29;19.7
7;30;20.6
7;31;20.6
8;1;21.4
8;2;15.6
8;3;14.3
8;4;18.5
8;5;19.8
8;6;20.5
8;7;19.9
8;8;18.9
8;9;18.4
8;10;15.1
8;11;16.1
8;12;13.3
8;13;14.9
8;14;17.4
8;15;13.5
8;16;17.4
8;17;15.5
8;18;15.1
8;19;17.2
8;20;16.8
8;21;13.9
8;22;15.7
8;23;13.9
8;24;15.3
8;25;14
8;26;13.9
8;27;11.7
8;28;15.4
8;29;13.5
8;30;12
8;31;15.4
9;1;15.1
9;2;14.3
9;3;12.1
9;4;16.8
9;5;16.3
9;6;13.7
9;7;13.3
9;8;15
9;9;14.8
9;10;9
9;11;11.9
9;12;10.2
9;13;10.3
9;14;11
9;15;12.7
9;16;12.1
9;17;11.3
9;18;10.5
9;19;9
9;20;8.6
9;21;10.3
9;22;10.1
9;23;11.1
9;24;13
9;25;9.7
9;26;9.2
9;27;7.8
9;28;6.1
9;29;6.4
9;30;6.5
10;1;8.4
10;2;6.9
10;3;7.5
10;4;7.3
10;5;8
10;6;7.2
10;7;7.5
10;8;6.8
10;9;9
10;10;7
10;11;7.2
10;12;7.1
10;13;7.9
10;14;6.5
10;15;6
10;16;4.1
10;17;4.6
10;18;5.9
10;19;5.3
10;20;5.2
10;21;4.1
10;22;4.3
10;23;3.3
10;24;4.6
10;25;4.2
10;26;4.6
10;27;3.5
10;28;4.4
10;29;4
10;30;3.1
10;31;4.2
11;1;2.8
11;2;3.5
11;3;3.4
11;4;2.1
11;5;2.7
11;6;3.7
11;7;2.7
11;8;1.9
11;9;2.1
11;10;2.7
11;11;2.5
11;12;2.5
11;13;2.8
11;14;2.2
11;15;1.6
11;16;2.5
11;17;2
11;18;1.6
11;19;2.4
11;20;1.9
11;21;1.7
11;22;1.3
11;23;1.7
11;24;1.9
11;25;1.4
11;26;1.8
11;27;1.8
11;28;1.6
11;29;0.9
11;30;1.2
12;1;1.1
12;2;0.8
12;3;1.2
12;4;1.1
12;5;0.7
12;6;1.2
12;7;1.7
12;8;1.2
12;9;1
12;10;1.4
12;11;0.8
12;12;1.2
12;13;1.5
12;14;1
12;15;1.1
12;16;1
12;17;0.5
12;18;1.1
12;19;1.9
12;20;1.4
12;21;1.1
12;22;1.1
12;23;1.1
12;24;1
12;25;1.4
12;26;1.1
12;27;0.8
12;28;0.6
12;29;1.3
12;30;1
12;31;1.9
