statid;the_date;elem_val(MJ/m^2)
610900;20090101;1.5
610900;20090102;2.3
610900;20090103;0.7
610900;20090104;0.7
610900;20090105;3.1
610900;20090106;1.8
610900;20090107;3
610900;20090108;0.8
610900;20090109;2.2
610900;20090110;0.4
610900;20090111;1.7
610900;20090112;0.9
610900;20090113;0.3
610900;20090114;1.2
610900;20090115;1.1
610900;20090116;1.2
610900;20090117;0.5
610900;20090118;0.2
610900;20090119;0.5
610900;20090120;1.6
610900;20090121;1.8
610900;20090122;3
610900;20090123;0.3
610900;20090124;1.6
610900;20090125;1.1
610900;20090126;0.8
610900;20090127;1.4
610900;20090128;1
610900;20090129;2.1
610900;20090130;1.4
610900;20090131;3.2
610900;20090201;2.5
610900;20090202;0.8
610900;20090203;0.8
610900;20090204;0.4
610900;20090205;1.1
610900;20090206;0.7
610900;20090207;1.1
610900;20090208;4.9
610900;20090209;3
610900;20090210;2.2
610900;20090211;6.8
610900;20090212;7.6
610900;20090213;4.3
610900;20090214;8.3
610900;20090215;2.6
610900;20090216;3.1
610900;20090217;7
610900;20090218;3.2
610900;20090219;2
610900;20090220;1.8
610900;20090221;2.3
610900;20090222;3.8
610900;20090223;9.4
610900;20090224;3.4
610900;20090225;1.4
610900;20090226;2.4
610900;20090227;3.9
610900;20090228;3.1
610900;20060301;6.5
610900;20060302;7.6
610900;20060303;6.2
610900;20060304;8
610900;20060305;12.7
610900;20060306;10.8
610900;20060307;12.3
610900;20060308;10.3
610900;20060309;9.3
610900;20060310;5.4
610900;20060311;13.3
610900;20060312;14.5
610900;20060313;7.4
610900;20060314;13.1
610900;20060315;5.8
610900;20060316;3.9
610900;20060317;8.5
610900;20060318;14.3
610900;20060319;7.5
610900;20060320;14.2
610900;20060321;14.7
610900;20060322;14.7
610900;20060323;7.8
610900;20060324;13.2
610900;20060325;5.8
610900;20060326;2.1
610900;20060327;3.4
610900;20060328;4.5
610900;20060329;6.1
610900;20060330;2.2
610900;20060331;3.2
610900;20100401;6.1
610900;20100402;9.8
610900;20100403;10.7
610900;20100404;2.4
610900;20100405;8.3
610900;20100406;10.9
610900;20100407;17.8
610900;20100408;12.7
610900;20100409;11.3
610900;20100410;20.2
610900;20100411;14.2
610900;20100412;20.7
610900;20100413;19.5
610900;20100414;21.9
610900;20100415;20.1
610900;20100416;22.8
610900;20100417;12
610900;20100418;18
610900;20100419;18.2
610900;20100420;7.3
610900;20100421;13.4
610900;20100422;17.6
610900;20100423;13
610900;20100424;22.1
610900;20100425;21.8
610900;20100426;3.6
610900;20100427;21.1
610900;20100428;16.7
610900;20100429;17.7
610900;20100430;4.4
610900;20060501;22.2
610900;20060502;21.4
610900;20060503;24.2
610900;20060504;24.8
610900;20060505;24.7
610900;20060506;22.2
610900;20060507;22.6
610900;20060508;25.4
610900;20060509;27.1
610900;20060510;21
610900;20060511;26.8
610900;20060512;25.6
610900;20060513;8.8
610900;20060514;21.9
610900;20060515;9.8
610900;20060516;2.5
610900;20060517;8
610900;20060518;8.1
610900;20060519;7.4
610900;20060520;4.1
610900;20060521;10.2
610900;20060522;12.8
610900;20060523;12
610900;20060524;11
610900;20060525;22.4
610900;20060526;23.3
610900;20060527;6.4
610900;20060528;11.4
610900;20060529;13.4
610900;20060530;19.4
610900;20060531;25.5
610900;20050601;11.9
610900;20050602;3.4
610900;20050603;14.5
610900;20050604;4.7
610900;20050605;7.2
610900;20050606;17.1
610900;20050607;20.8
610900;20050608;19.4
610900;20050609;16.4
610900;20050610;17.1
610900;20050611;19.1
610900;20050612;13.2
610900;20050613;9.5
610900;20050614;21.3
610900;20050615;28.2
610900;20050616;14.6
610900;20050617;8.2
610900;20050618;29.4
610900;20050619;27.7
610900;20050620;26.2
610900;20050621;20.2
610900;20050622;27.7
610900;20050623;28.2
610900;20050624;22.7
610900;20050625;21.7
610900;20050626;28.7
610900;20050627;23.5
610900;20050628;25.4
610900;20050629;28.1
610900;20050630;25.5
610900;20090701;27.1
610900;20090702;29
610900;20090703;26.7
610900;20090704;21.6
610900;20090705;24.6
610900;20090706;11
610900;20090707;20.4
610900;20090708;16.2
610900;20090709;23.8
610900;20090710;17.2
610900;20090711;20.3
610900;20090712;13.6
610900;20090713;27.7
610900;20090714;23
610900;20090715;23.2
610900;20090716;26.9
610900;20090717;13.8
610900;20090718;8.8
610900;20090719;22.9
610900;20090720;15.8
610900;20090721;26
610900;20090722;12.1
610900;20090723;9.2
610900;20090724;21.9
610900;20090725;17.5
610900;20090726;17.1
610900;20090727;11.2
610900;20090728;23.1
610900;20090729;9.2
610900;20090730;12.7
610900;20090731;22.1
610900;20090801;18.1
610900;20090802;6.9
610900;20090803;20.6
610900;20090804;21.4
610900;20090805;22.5
610900;20090806;23.1
610900;20090807;21.3
610900;20090808;13.6
610900;20090809;13.4
610900;20090810;13.5
610900;20090811;12.4
610900;20090812;13.5
610900;20090813;19.5
610900;20090814;17.4
610900;20090815;7.7
610900;20090816;16.8
610900;20090817;9.3
610900;20090818;19.4
610900;20090819;21.3
610900;20090820;19.9
610900;20090821;18
610900;20090822;20.1
610900;20090823;17.9
610900;20090824;20.7
610900;20090825;8.9
610900;20090826;13
610900;20090827;9.1
610900;20090828;10
610900;20090829;13.5
610900;20090830;13.6
610900;20090831;3.6
610900;20090901;15.8
610900;20090902;15
610900;20090903;5.2
610900;20090904;6.3
610900;20090905;10.8
610900;20090906;9.1
610900;20090907;9.7
610900;20090908;15.6
610900;20090909;12.3
610900;20090910;15.4
610900;20090911;15.2
610900;20090912;12
610900;20090913;14.5
610900;20090914;14.2
610900;20090915;13.8
610900;20090916;15.1
610900;20090917;14.8
610900;20090918;14.9
610900;20090919;13.6
610900;20090920;6.5
610900;20090921;8.3
610900;20090922;5.1
610900;20090923;7
610900;20090924;10.7
610900;20090925;11
610900;20090926;3.5
610900;20090927;6.7
610900;20090928;5.6
610900;20090929;11.3
610900;20090930;4.8
610900;20081001;3.8
610900;20081002;8.1
610900;20081003;9.8
610900;20081004;9.3
610900;20081005;6.1
610900;20081006;10.9
610900;20081007;4.4
610900;20081008;2.2
610900;20081009;8
610900;20081010;4.6
610900;20081011;1.8
610900;20081012;7.7
610900;20081013;2
610900;20081014;6.7
610900;20081015;1.8
610900;20081016;2.8
610900;20081017;8.9
610900;20081018;1.9
610900;20081019;4.8
610900;20081020;4.5
610900;20081021;3.5
610900;20081022;3.2
610900;20081023;6.7
610900;20081024;0.6
610900;20081025;6.2
610900;20081026;1.1
610900;20081027;4.9
610900;20081028;6.1
610900;20081029;5.8
610900;20081030;4.1
610900;20081031;6.5
610900;20101101;2.5
610900;20101102;0.6
610900;20101103;5.3
610900;20101104;2.1
610900;20101105;3.5
610900;20101106;5.7
610900;20101107;6
610900;20101108;4.6
