jan -999 -999 52 41 63 63 58 43 42 72 41 54 72 12 58
feb -999 -999 122 157 133 95 87 101 109 122 87 116 157 23 101
mar -999 -999 298 282 314 269 330 251 262 288 251 287 330 27 269
apr -999 -999 467 385 444 342 516 442 526 434 342 444 526 61 434
maj -999 -999 476 588 560 556 579 725 651 567 476 588 725 73 556
jun -999 -999 550 529 580 592 614 689 737 642 529 617 737 70 580
jul -999 -999 567 511 519 664 502 684 551 634 502 579 684 72 551
aug -999 -999 541 501 434 441 463 439 482 466 434 471 541 37 482
sep -999 -999 316 335 328 327 328 312 327 315 312 324 335 8 327
okt -999 93 214 163 201 162 197 181 196 176 93 176 214 36 181
nov -999 54 56 67 65 72 84 67 42 79 42 65 84 13 79
dec -999 26 38 41 39 31 32 39 45 68 26 40 68 12 45
