GLOBALSTRÅLING, månedsværdier (MJ/m2)               
zone 1 (ref.st.: 6141)               
 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 min middel maks std_afv DRY
jan 52 48 53 58 72 72 52 43 58 67 43 58 72 10 52
feb 129 130 136 130 116 103 82 123 98 121 82 117 136 17 123
mar 260 285 334 269 313 266 313 288 222 267 222 282 334 32 266
apr 346 352 490 451 510 366 525 453 534 463 346 449 534 71 463
maj 677 535 593 564 568 571 582 746 653 454 454 595 746 81 571
jun 629 627 631 557 663 626 568 683 650 657 557 629 683 40 663
jul 617 545 613 542 565 734 555 662 598 650 542 608 734 61 598
aug 470 502 554 523 485 480 450 418 505 401 401 479 554 47 505
sep 239 389 368 370 358 366 317 314 355 307 239 338 389 44 355
okt 159 168 225 183 235 157 178 166 186 202 157 186 235 27 166
nov 83 68 67 78 79 71 90 55 44 65 44 70 90 14 65
dec 44 39 44 38 44 32 31 35 38 55 31 40 55 7 38
år 3705 3688 4107 3763 4008 3845 3742 3985 3942 3708  3849   3866
